Original_Dialect,MSA_conversion
معاك خو ياا ربي يوفقك فيديو فوور مانسوطيش,معك يا أخي، حفظك الله، الفيديو رائع، ولن أتوقف عن دعمك.
مانسوطيش يعطيك صحه شمسو,لن أتوقف عن دعمك، وأتمنى لك الصحة يا شمسو.
فورر خوية شمسو ربي يحفظك ديما في القمة,أنت رائع يا أخي شمسو، حفظك الله دائمًا في القمة.
يعطيك الصحة خويا شمسو جوكر كلام قاوي,شكرًا لك يا أخي شمسو، كلامك قوي مثل الجوكر.
شمسو رانا قع معاك مانصوطيش,نحن جميعًا معك يا شمسو، ولن نصوّت.
فيديو رائع يعطيك الصحة منسوطيش,الفيديو رائع، شكرًا لك، ولن أتوقف عن دعمك.
شمسو جمعهم في فيديو واحد,شمسو جمعهم في فيديو واحد.
مانسوطيش ربي معاك خويا شمسو رانا كامل معاك,لن أتوقف عن دعمك، حفظك الله يا أخي شمسو، نحن معك.
شمسو عنده صح,شمسو على حق.
ما يخلخلوكش شمسو رانا معاك,لا تدعهم يؤثرون عليك يا شمسو، نحن معك.
ليمراحش يسوطي غدوا جاام هنا مانسوطيش,من لن يصوت، فسيضغط زر الإعجاب هنا غدًا، ولن أتوقف عن دعمك.
يعطيك الصحة خويا شمسو فالصواب وربي يوفقك,شكرًا لك يا أخي شمسو، أنت على حق، وحفظك الله.
راك فورر خويا شمسو,أنت رائع حقًا يا أخي شمسو.
يعطيك الصحة شمسو على الفيديو,شكرًا لك يا شمسو على هذا الفيديو.
خدمة رووعة خويا شمسو,عمل رائع يا أخي شمسو.
يعطيك الصحة خويا شمسو ابدعت هاد الفيديو,شكرًا لك يا أخي شمسو، لقد أبدعت في هذا الفيديو.
كل يوم نعاود الفيديو ربي معاك شمسو,أنا أشاهد هذا الفيديو كل يوم، حفظك الله يا شمسو.
هيا شمسو خويا رني معاك,هيا يا شمسو، أنا معك يا أخي.
حشيتو هه راك نافيقيت مليون ابوني,لقد بالغت! لديك مليون مشترك!
ربي يحفظك خويا شمسو,حفظك الله يا أخي شمسو.
يعطيك الصحة خويا شمسو راك تكلمت في بلاصتنا كامل,شكرًا لك يا أخي شمسو، لقد عبّرت عن آرائنا جميعًا.
برافو خويا شمسو,برافو يا أخي شمسو.
خويا شمسو رانا نسناو فجديد,أخي شمسو، نحن في انتظار جديدك.
كل يوم نعاود نشوف الفيديو ربي يحفظك شمسو,أنا أشاهد هذا الفيديو كل يوم، حفظك الله يا شمسو.
رانا معاك شمسو يعطيك الصحة,نحن معك يا شمسو، شكرًا لك.
هيا لي ما صوطاش يدير جام هه,هيا، من لم يصوت، فليضغط زر الإعجاب!
قستنا بزاف خويا شمسو,لقد تأثرنا كثيرًا يا أخي شمسو.
رانا كامل معاك شمسو مانسوطيش,نحن معك يا شمسو، ولن أتوقف عن دعمك.
رانا معاك شمسو ما نسوطيش,نحن معك يا شمسو، ولن أتوقف عن دعمك.
مانسوطيش رانا كامل معاك شمسو يعطيك الصحة,لن أتوقف عن دعمك، نحن معك يا شمسو، شكرًا لك.
رنا معاك شمسو,نحن معك يا شمسو.
صحا خويا شمسو راني معاك منسويش,شكرًا لك يا أخي شمسو، أنا معك ولن أتوقف عن دعمك.
يعطيك الصحة شمسو راني معاك,شكرًا لك يا شمسو، أنا معك.
يعطيك الصحة خويا لعزيز راك مبدع منسوطيش,شكرًا لك يا أخي العزيز، أنت مبدع، ولن أتوقف عن دعمك.
ربي يحفضك شمسو فيديو يهبل يعطيك الصحة,حفظك الله يا شمسو، الفيديو رائع، شكرًا لك.
مانسوطيش عندك الحق صحيت شمسو,لن أتوقف عن دعمك، أنت على حق يا شمسو.
كلما نعاود نتفرجو مانكرهوش ربي يخليك لينا شمسو صحا رمضانكم,كلما شاهدت الفيديو، أحببته أكثر، حفظك الله لنا يا شمسو. رمضان مبارك علينا جميعًا.
الله يحفضك خوي شمسو وليحب يدير جام,حفظك الله يا أخي شمسو، ومن يحب التصويت، فليتفضل.
كمل خو شمسو,أكمل يا شمسو يا أخي.
نحبك شمسو بزاف,أنا أحبك يا شمسو كثيرًا.
يعطيك الصحه خويا شمسو,شكرًا لك يا أخي شمسو.
شكون ليبغي شمسو,من يحب شمسو؟
راني معاك شمسو خويا ربي يوفقك,أنا معك يا أخي شمسو، حفظك الله.
مانسوطيش رانا معاك شمسو,لن أتوقف عن دعمك، نحن معك يا شمسو.
يعطيك الصحة خويا شمسو ربي يوفق,شكرًا لك يا أخي شمسو، حفظك الله.
مانسوطييش يعطيك الصحة شمسو,لن أتوقف عن دعمك، شكرًا لك يا شمسو.
فوور خويا بزاف نشان مردونا بكاونا زيد كمل ربي يحفدك رانا واقفين معاك,أنت رائع يا أخي شمسو، مثل مارادونا وبيليه، أكمل يا أخي، حفظك الله، نحن ندعمك.
برافو عليك شمسو في هادي راني معاك مانسوطيش,برافو عليك يا شمسو، أنا معك في هذا، ولن أتوقف عن دعمك.
منسوطيش شمسو راني معاك,لن أتوقف عن دعمك يا شمسو، أنا معك.
ربي معاك خويا شمسو,حفظك الله يا أخي شمسو.
عندك الحق خويا شمسو,معك حق يا أخي شمسو.
لعلام خويا شمسو,شكرًا لك يا أخي شمسو.
راني متفرج للفديو كثر من مرة يعطيك صحا خويا شمسو ليمايسوطيش يدير جام,أنا أشاهد الفيديو أكثر من مرة، وأتمنى لك الصحة، ومن لا يصوت، فليضغط زر الإعجاب.
شمسو ربي يوفقك خويا,حفظك الله يا شمسو يا أخي.
مانسوطيش رانا كامل معاك خويا يعطيك الصحة,لن أتوقف عن دعمك، نحن معك يا أخي شمسو، شكرًا لك.
رانا معاك خويا شمسو ربي يحفظك,نحن معك يا أخي شمسو، حفظك الله.
منسوطيش بكاني فيديو خويا شمسو ربي يحفضك مشاء الله عليك نحبك,لن أتوقف عن دعمك، هذا الفيديو رائع يا أخي شمسو، حفظك الله، ما شاء الله عليك، أنا أحبك.
شمسو عندك لحق حبيبي,معك حق يا حبيبي يا شمسو.
فور خويا شمسو الله يبارك,أنت رائع يا أخي شمسو، بارك الله فيك.
عندك حق خويا شمسو مانسوطيش,معك حق يا أخي شمسو، لن أتوقف عن دعمك.
شمسو خونا ربي يحفظك,شمسو، أخونا، حفظك الله.
سايي منسوطيش رانا معاك شمسو,لقد انتهيت، لن أتوقف عن دعمك، نحن معك يا شمسو.
ربي يخليك عندك الحق خويا شمسو,حفظك الله، معك حق يا أخي شمسو.
لي يحب شمسو يكليكي جام,من يحب شمسو، فليضغط زر الإعجاب.
ربي يحفظك خو مانسوطيش من,حفظك الله يا أخي، لن أتوقف عن دعمك.
فيديو شباب يعطيك الصحة شمسو,الفيديو رائع يا شمسو.
يعطيك الصحة خويا شمسو والله افضل فيديو شفتو,شكرًا لك يا أخي شمسو، والله هذا أفضل فيديو شاهدته.
شمسو نتا ديما فوور,أنت دائمًا رائع يا شمسو.
تحيا شمسو ديزاد جوكار ليزوم رانا كامل معاك,تحيا شمسو ديزاد جوكر، يجب أن ندعمك يا شمسو، نحن معك.
قوة قوة قوة خويا شمسو رانا كامل معاك,قوة، قوة، قوة يا أخي شمسو، نحن معك.
انس تينا شمسو,أنس تينا وشمسو.
عندك الصح خويا شمسو كامل مانسوطوش,معك حق يا أخي شمسو، لن أتوقف عن دعمك.
يعطيك الصحة فور بزاف,شكرًا لك، أنت رائع جدًا.
توب خويا شمسو كمل كيما راك,أنت رائع يا أخي شمسو، أكمل كما أنت.
يعطيك الصحة خويا شمسو ربي يحميك نشاء الله,شكرًا لك يا أخي شمسو، حفظك الله.
قوا خويا شمسو,قوة يا أخي شمسو.
مليحا خويا شمسو,رائع يا أخي شمسو.
يعطيك الصحة شمسو,شكرًا لك يا شمسو.
منسوطيش كلام من القلب خويا شمسو,لن أتوقف عن دعمك، كلامك من القلب يا أخي شمسو.
منسوطيش شمسو رانا ندعموا فيك خويا,لن أتوقف عن دعمك يا شمسو، نحن ندعمك يا أخي.
قوة كامل معاك شمسو,قوة، نحن معك يا شمسو.
مانسوطيش ربي معك خويا شمسو برافوو عليك,لن أتوقف عن دعمك، حفظك الله يا أخي شمسو، برافو عليك.
فور فور فور عاودتها مرات شباب بزاف الفيديو ربي يحفظك راك قلت هدرة تاع الشعب,أنت رائع، رائع، رائع! لقد كررت ما قاله الشباب عدة مرات، الفيديو رائع، حفظك الله، لقد عبّرت عن رأي الشعب.
يعطيك الصحة شمسو فيديو رووعة في القمة ربي يحفظك على كلامك,شكرًا لك يا شمسو، الفيديو رائع وفي القمة، حفظك الله على كلامك.
منسوطيش لي عجبو الفيديو يخبط جام,لن أتوقف عن دعمك، من أعجبه الفيديو، فليضغط زر الإعجاب.
شكون لميسوطيش ليوم يخبط جام رانا بزاف مانسوطيش,من لم يصوت اليوم، فليضغط زر الإعجاب، نحن كثيرون يا من لا نصوت.
ما نسوطيش الله يحفضك خويا شمسو,لن أتوقف عن دعمك، حفظك الله يا أخي شمسو.
رووعة ديما فور شمسو,رائع، دائمًا رائع يا شمسو.
الدمعة طاحتلي خويا شمسو,لقد أبكيتني يا أخي شمسو.
شمسو كمل رنا معاك,شمسو، أكمل، نحن معك.
قستها خويا شمسو يعطيك الصحة,لقد أثرت فينا يا أخي شمسو، شكرًا لك.
فور حبيبي ربي يحفضك,أنت رائع يا حبيبي، حفظك الله.
ربي يبارك خويا شمسو,حفظك الله يا أخي شمسو.
يعطيك صحى يا خويا راك فور فور,شكرًا لك يا أخي، أنت رائع حقًا.
لي مزال يتفرج فيها يدير جام نحسبكم,ليحسبنا من ما زال يشاهد الفيديو، فليضغط زر الإعجاب.
فور بزاف حويا شمسو الله يحفظك,أنت رائع جدًا يا أخي شمسو، حفظك الله.
والله يعطيك الصحة خويا شمسو,والله، شكرًا لك يا أخي شمسو.
سمحلي بصح فيديو ضربة يعطيك الصحة شمسو,عفوا، ولكن هذا الفيديو مؤثر حقًا، شكرًا لك يا شمسو.
اه يعطيك الصحة الفيديو تع مانسوطيش هايل,"نعم، شكرًا لك، فيديو ""لن أتوقف عن دعمك"" رائع."
فيديو شابة شمسو رانا اع معاك,الفيديو رائع يا شمسو، نحن معك.
يعطيك الصحة خويا يرحم لميمة لي جباتك,شكرًا لك يا أخي، رحم الله والدتك التي أنجبتك.
سلام _ عليكم افي فو ديجا فو ان هوم بوليتيك او ان مامبر دو _ ل ايتا او ان اورقانيزم دو _ ل ايتا سون روبريزونتا اي جون _ ? ل فوتو دو الشروق بروف كو نو ديسيدور سو فيو ال اون ان بيا دا لا تومب استغفر الله اي ال تيان تجر او _ بوفوار ياو ال موت كاينة,السلام عليكم، هل هناك ديجا فو في السياسة؟ هل أعضاء منظمة الايتا وممثلوها ممثلون أيضًا؟ إن صورة الشروق تثبت أنهم يريدون العودة إلى الماضي، استغفر الله. إنهم يجرون الزمن إلى الوراء، مثل بوفوار، إنها الموت بعينه.
يا ربي نربجو مع زامبيا و مع رواندا و نروحو ل مصر ب لي جون,يا رب، نسألك النصر مع زامبيا ورواندا، وأن نذهب إلى مصر في يونيو.
ربي معاك شيخ اون فو ريسباكت نحبوك والله بون شانس لو _ 7 جوان,ربي معك يا شيخ، نحن نحترمك ونحبك، حظًا سعيدًا في السابع من يونيو.
دير في روحك قران بليزير و استقل يرحم والديك راك كرهتنا ف ل قراية خاطرش ولادك خلصو قرايتهم عليها بديت تخلط علينا و سياسة كوبيي كولي  من عند ل اوروب,خذ وقتك في قراءة القرآن من فضلك، واستقل يا أخي، لقد سئمنا من الدراسة بسبب أطفالك الذين أنهوا تعليمهم، لقد بدأت في إرباكنا، واتباع سياسة النسخ واللصق من أوروبا.
موا افك حليلوزيج عندنا اون بون اكيب اي فيف _ ل الجيري,لدينا حاليًا حصص جيدة وفريق جيد، عاشت الجزائر.
واش من مستقبل بور ان افيك سي اسنسيال جزائر راحت مع بومدين < عساد < ماجر اي بلومي لو راست س ريان كو ;;;;;;;;;;;;; حاشاكم,ما هو المستقبل؟ الجزائر الحقيقية رحلت مع بومدين وعساد وماجر وبلومي.
فيف ل الجيري زكارة _ ف ال عديان,عاشت الجزائر، على الرغم من الأعداء.
"انايا ل يوم _ ج م اون _ فو , كي عرفت _ ل يوم كلشي فستي",عندما علمت أن اليوم هو يوم عيد ميلادي، شعرت بالرعب.
انشالله برك يفروها يا ربي _ مع هم بون كوراج نوتر اكيب _ ناسيونال رانا معاكم مالقري تو,بإذن الله، سيفرحون، يا رب، مع شجاعتهم، نحن معكم من القلب.
ما شاء الله و لا قوة الا بالله فريمو ال نو ا هونوري ا ليترانجي جو لوي سوهات ل بون كونتينواسيو بلان دو سكسي اي دو فيارتي برافو ولد بلادي ربي معاك,ما شاء الله، لا قوة إلا بالله، لقد أطربت آذاننا يا سوهات، استمر في خطتك، خطتك جيدة وقوية، أحسنت يا ولد بلادي، ربي معاك.
الا عندنا دعوة عند ربي انشالله يخسرو ب 4 à 0 امين يا ربي زعما مولودية الجزائر ههه _ ال عميد هههه فريق _ ال عاصمة هههه,إذا كان لدينا دعوة عند الله، فسنفوز 40، إن شاء الله، يا رب، كما لو كانت مولودية الجزائر، فريق العاصمة.
رانا ديما نستناو ف ولادنا ربي يشفيهم و معاك يا الخضرة,نحن دائمًا ننتظر أطفالنا، يا رب اشفهم، ونحن معك يا الجزائر.
سي بون نشيخ و نعيش ديما فرحان,حياة سعيدة، يا شيخ، دائمًا سعيد.
حسبنا الله و نعم ال وكيل اللهم لا تاخذنا بما فعل السفهاء منا,حسبنا الله ونعم الوكيل، اللهم لا تؤاخذنا بما فعل السفهاء منا.
123 فيف شبيبة رانا معاكم فرحونا رانا زعفانين,123 عاشت الشبيبة، نحن معكم، افرحونا، نحن غاضبون.
1 2 3 فيفا لالجيري روح يا عمو سعدان راك رابح,1 2 3 عاشت الجزائر، اذهب يا عمي سعدان، أنت الفائز.
صوفية مدعومة ب امريكا و وزير شؤون دينية و مر و حفظهم تظليل _ ل مسلمين عن دينهم و نشر _ ل خرفات و _ ل بدع و بناء في كل مدينة زاوية و دريح و هم كثيرون ف غرب لجزائر و ان كانت لهم عاصمة ف هيا مستغانم حذاري حذاري يا اخوان والله انهم اشد خطرا من بني صهيون و نصارى,الصوفية مدعومة من أمريكا ووزير الشؤون الدينية، إنهم يبعدون المسلمين عن دينهم وينشرون الخرافات والبدع، ويبنون زاوية وضريحًا في كل مدينة، وهم كثر في غرب الجزائر، وإذا كانت لديهم عاصمة، فهي مستغانم، احذروا يا إخوة، والله إنهم لخطر أكبر من بني صهيون والنصارى.
نشالله اكون خليفة تاع زيزو ل فرح لا فرانس _ و نشالله مادين يلعب بور لالجيري ل الجيري اي توجور فيف _ ل الجيري,بإذن الله، سأكون خليفة زيدان الذي أسعد فرنسا، وبإذن الله، مادين سيلعب من أجل الجزائر، عاشت الجزائر دائمًا.
_ و حنا _ ك نشوفوها نقولو شو ياخي خامجة,وعندما نراها، نقول، يا إلهي، إنها فاسدة.
فيف صسص ديما عام الطلعة,عاشت SSS، عام الصعود دائمًا.
عندك _ ال صح يا مول تعليق 2 يبدا و 0 كيفكيف,أنت محق يا صاحب التعليق الثاني، إنها 10، وهي نفس النتيجة.
رانا شفنا الحاج دن لو متش _ الجيري + بريزيل مالقري لعب 10 من مي ال في لا ديفيرونس,لقد رأينا الحاج دن في مباراة الجزائر والبرازيل في كأس العالم 1986، لقد لعب 10 دقائق فقط، وكانت النتيجة 10 لصالح البرازيل.
انتم يا ثوار لا تستاهلو ماعندكم _ لا دين و لا ملة,أنتم أيها الثوار لا تستحقون، لا دين لكم ولا ملة.
بون كوراج لي ايقل ربي معكم ولاد لانتانت,حظًا سعيدًا لأولئك الذين يدرسون، ربي معكم يا أبناء الانتانت.
ربي مع لي فورس دو سكوريتي,ربي مع قوات الأمن.
صايفي _ خير لك تروح ادير جوبيلي ف اسرع وقت ممكن انتهت صلاحيتك باي مارسي,يا صايفي، من الأفضل لك أن تحتفل باعتزالك في أسرع وقت ممكن، لقد انتهت صلاحيتك، شكرًا ووداعًا.
_ و لي عندو عرض او ماعندوش بيرمي دو كوندوير !!!!!!? فيف الجيري انشالله الجيري رابحة زامبيا ب 4/0 وهاكا يلعبو حتا ف تراب فرحونا الله معاكم,وعلى سائق الحافلة الذي لا يملك رخصة قيادة!!! عاشت الجزائر، بإذن الله ستفوز الجزائر على زامبيا 40، وسيذهبون للعب في مصر، افرحونا يا رب.
برافو لي فار نشالله تعاودوها افيك غامبيا,برافو يا حارس المرمى، نتمنى أن تفعلها مرة أخرى ضد غامبيا.
سلام عليكم سلام يا شاوشي يا بن شيشة في خاطر دزاير او في خاطر لا جسبم كون سبع كي باباك او زهينا ربي اكون معاك ان شالله نحب نقولك حاجة _ او هيا نعرف بلي قادر عليها بصح ما تزيدش تخرج بزاف عن منطقة ديالك كيما يلزمش ال حال و ان شالله تفوزو يا فوزي,السلام عليكم، يا شاوشي، يا ابن الشيشة، من أجل الجزائر ومن أجل جسبم، كن شجاعًا مثل والدك، وأسعدنا، يا رب، سنفوز. أريد أن أقول لك شيئًا، أنا أعلم أنك قادر عليه، لكن لا تخرج كثيرًا عن منطقتك، كما لا ينبغي أن تخرج عن حدودك، بإذن الله سنفوز يا فوزي.
سالو هادي ماهيش عتابة مي عقبة وعلاش هادا كامل عليهم ترو شارج و ربي معانا في باك 2011,هذه ليست لومًا، ولكن لماذا كل هذا عليهم؟ إنهم مشحونون بالطاقة، والرب معنا في امتحانات البكالوريا لعام 2011.
انشاء الله نربحو زكارة اي نروحو ال كاس ال عالم,بإذن الله سنفوز، على الرغم من الأعداء، وسنذهب إلى كأس العالم.
تري بيان يا عدرة و ربي معاكم _ و ال جالية _ ا تونسية ف جابو تحييكم,أظهري قوتك يا عدرة، والرب معك، والجالية التونسية في جابو تحييكم.
لبارح فرحنا من تعادلة دزاير او نتوما فرحتو مين تعادلنا حنا هههه مي هادي هيا لكرة نشالله ف لماتش نتاع مروك فس الجيري تكون فيها فير بلاي او صحا فطوركم,لقد فرحنا أمس بتعادل الجزائر، وفرحتم أنتم بتعادلنا، هذه هي كرة القدم، بإذن الله ستكون هناك لعبة عادلة في المباراة القادمة بين المغرب والجزائر، وصباح الخير عليكم.
ايا لي جون افرحو _ و فرحونا معاكم ربي ينصركم _ و يكون معاكم,أيها الشباب، افرحوا وافرحونا معكم، يا رب انصرهم وكن معهم.
و نشالله تو لي الجيريان معايا فيف سعدان,وبإذن الله، كل الجزائريين معي، عاشت سعدان.
عاودوها يا لي جون,افعلوها مرة أخرى أيها الشباب.
ربي معاك يا خويا والله سا ما في دو لا بين اي جي مام دي لاغم او _ زيو احكم ف ربي او ربي اجيب شفا ان شالله جو تو سوات بك دو كوراج,ربي معك يا أخي، والله، إنها ليست النهاية، ثق بالله وسيعطيك الشفاء، يا رب، امنحهم الشجاعة.
فيف _ ل الجيري معاك يا خضرة انشالله,عاشت الجزائر معك يا خضراء، بإذن الله.
ل مرة ديا ستيلو ادير مساكر ا ل ترانسونوز,يجب أن يذبح ستيلو في عيد الأضحى.
يا رب يشافيك او يمدك بقوة اكثر ملي انت فيها ربي مع اصابرين و رحيم بعبادو اكثر من رحمة ال ام علا ولادها نطلب من ربي يشفيك اويحفظك هادا ابتلاء من عندو كون صابر او ربي يفرج عليك او ماتفقدش ال امل ال علم ديما يطور او ماتدري انشالله اكون شفاء باذن الله ربي معاك,يا رب، اشفه ومنحه قوة أكبر مما لديه، يا رب، كن مع الصابرين، وكن رحيمًا بعبادك أكثر من رحمة الأم على أطفالها، أسألك يا رب أن تشفيه وتحفظه، هذا ابتلاء من عندك، كن صابرًا يا أخي، وسيفتح الله لك أبواب الفرج، ولا تفقد الأمل، العلم يتطور دائمًا، وقد يكون هناك علاج بإذن الله، ربي معاك.
مانبيعش ب طرف علا جال 100 الف تاع سقاطة,لن أبيع مقابل 100 ألف فقط.
هيار جيتي اونتغا دو شيرشي لا شان اراب كي ديفوز لو ماتش دو ل'اوم بور فوار زياني الوغ جي تغوفي كو اون شان ليبيان ديفوز لو ماتش دو ليون والله عيب عليكم يا لي تسمو روحكم ريسبونسابل و نهار كامل و نتوما تزوخو علبنا درنا و درنا لييبيا حشا سامعين ديفوز شامبيونا فرانساز اي اون ديراكت اي نو ان ماتش دو ليكيب الجيريان اون بو با لو فواغ والله تجوز فيكم لقتيلة عيب عيب عيب عليكم اي والله ماتحشمو وجاهكم صحيح,لقد جئت للتسوق في سوق الشارع العربي عندما فاز الفريق الوطني على مصر، زياني، يا رجل، لقد حققنا الفوز، الآن يجب أن يفوز الليبيون، يا عار، لقد فازوا بالدوري الفرنسي، وفريقنا الوطني فاز مباشرة، لقد خسرنا، يا عار، يا عار، يا عار عليكم، إن وجوهكم صحيحة.
لي الجيريان كامل معاكم انتوما برك الي تقدرو توحدو لي الجيريان,الجزائريون كلهم معكم، أنتم فقط من يمكنكم توحيد الجزائريين.
فيف _ ل الجيري 5 في عينين ال حسادين,عاشت الجزائر، في عيون الحاسدين.
_ يا ودي دعارة راها بار تو _ ف ال سونتر فيل _ تشوف ال عجب _ ال معجب ناس لابسة راحا تلبس _ ال عرا,يا أخي، الدعارة منتشرة الآن في وسط المدينة، سترى العجب، الناس يرتدون ملابس غريبة.
دوهم _ ل صحرا يفلحو باه يرفدو قيمت ال جزاير,خذوهم إلى الصحراء ليزرعوها ويرفعوا قيمة الجزائر.
_ ال سلام عليكم جو سوي لا بوغ باسي ان قران سالو بور نو جوور _ س اوبلي سورتو _ با متمور 40 لو ميوغ جوور بور مون اوبينيو و نشالله نربحو زامبي _ 2 او 3 اون فان ناس _ ل حراقة كامل معاكم كوم تو لي الجيريان فرحونا نشالله و تقبل الله صيامنا و صيامكم و السلام عليكم و رحمة الله و بركاته,السلام عليكم، اليوم هو يوم عظيم، لقد صمنا جيدًا، وغدًا سيكون أفضل، بإذن الله سنفوز على زامبيا 20 أو 30، يا رب، والحراقة كلهم معكم، يا جزائريين، افرحونا يا رب، تقبل الله صيامنا وصيامكم، والسلام عليكم ورحمة الله وبركاته.
لازم يبقا يتعذب في حياتو كيما عذب ا ناس و نشالله يزيد يتعذب في جهنم مع ابو جهل,يجب أن يظل يعاني في حياته كما عذب الناس، وبإذن الله سيعاني أكثر في جهنم مع أبو جهل.
بيان جووي بوقرة نتمنالك احسن لاعب ف _ ال عالم,مبروك بوقرة، نتمنى أن تكون أفضل لاعب في العالم.
ما عندنا ني لي اكتوغ ني لي برودوكتوغ,لا نملك لا الطعام ولا المنتجات.
مالا كون ڨالولك هدرولك بلي كلامي عيب,لا تقلق، لن يخبروك أن كلامك غير لائق.
ماتنساوش حنا يسمونا مولودية وهران عندنا 8 ملاين سيبورتور يا ايقاليتي مولودية وهران طالعة و ربي كبير لاخاطر لي ڨران كلوب جامي يموتو حنا دينا 3 كوب د,لا تنسوا أننا نسمى مولودية وهران، ولدينا 8 ملايين مشجع، يا إيكاليتي، مولودية وهران صاعدة، والله كبير، لأن محبي كلوب دي أم درمان لا يموتون أبدًا، لقد حصلنا على 3 كؤوس.
اون فا ڨاڨني نشالله _ يا ربي كون معانا,أفعلها يا رب، يا رب، كن معنا.
