Original_Dialect,MSA_conversion
دوله ما قدرت تحمي مواطنين عالطريق من اعتداء سائقي الشاحنات الزعران عليهم كيف بدها تحمينا من العدو الصهيوني,دولة لا تستطيع حماية مواطنيها على الطريق من اعتداء سائقي الشاحنات الأشرار، كيف ستحمينا من العدو الصهيوني؟
يخرب بيتك هيدي طبعا للإعجاب,لعنة الله عليك، هذا بالطبع للإعجاب
ودع ربيع العمر يا نيسان الله يصبر اهلك شربل خساره,مات ربيع العمر يا نيسان، الله يصبر أهلك، خسارة يا شربل
بعدك قاعد بلا شغل,ما زلت جالسًا بلا عمل؟
مش طبيعي نادي شو مهضوم,نادي، أنت لطيف جدًا
هاي كيفك سافا وهيك,مرحبًا، كيف حالك؟ وأنت كذلك
هالبنوك شو شاطرين بالدعايات و الكلام المعسول يللي بيسمعهن بيقول ارتحنا لمدى الحياه,هذه البنوك ماهرة جدًا في الإعلانات والكلام المعسول، من يسمعهم يقول ارتحنا مدى الحياة
صوتك و لما سمعته حسيت احساس ما حدا حسه غير ل سمع صوتك,عندما سمعت صوتك، شعرت بإحساس لم يشعر به أحد سوى من سمع صوتك
بقانون عادل للاحوال الشخصيه,بقانون عادل للأحوال الشخصية
اتليتكو مدريد لازم ينضم لدوري اندرتيكر فريق وسخ,أتليتكو مدريد يجب أن ينضم إلى دوري أندرتيكر، فريق سئ
يخرب بوشتك شو يعني,لعنة الله على وجهك، ماذا تعني؟
ي حلو هاشتاقتهم تفتح النفس مو هاشتاقتنا تجيب المرض,يا لها من هاشتاقات رائعة ومفرحة، ليست مثل هاشتاقاتنا التي تجلب المرض
يا ريتني انا ولا انت,يا ليتني أنا من يعاني وليس أنت
انو كل اللي عملتو ما حدا قدرو,كل ما فعلته لم يقدره أحد
اهضم من هيك ما في,لا يوجد ألطف من هذا
انو البلد صار بلد,البلد أصبحت بلدًا
برافو جو ولكل فريق العمل فكره فستان سوزي كتير انسانيه,برافو لك ولكل فريق عمل، فكرت في فستان سوزي، وهو في منتهى الإنسانية.
ب سافرو شهر عا اوروبا بصير يقرط بنص حرف,بمجرد أن يسافر لمدة شهر إلى أوروبا، يبدأ بالتفاخر
تعامل مع لين كان اكثر من رائع شكرا عالحلقه و مثل العاده ما منستغرب طيبه قلبو وعملو الانساني,التعامل مع لين كان أكثر من رائع، شكرًا على هذه الحلقة، وكالعادة لا نستغرب طيبة قلبه وعمله الإنساني
واديش كان في ناس علمفرق تنطر ناس,وكم كان هناك أناس ينتظرون على الفرق
السلاح الظاهر والإعتداء على المواطنين لا يجب ان يمر دون عقاب السجن وجد لأمثال هؤلاء,الأسلحة الظاهرة والاعتداء على المواطنين لا يجب أن يمرا دون عقاب، السجن وجد لمثل هؤلاء
شريفه فاضل رفيقتها هها,شريفة فاضل رفيقتها هاها
بيصير كل خير جمله ما الها علاقه بالخير ابدا,يحدث كل خير، عبارة لا علاقة لها بالخير على الإطلاق.
ولكن في الأسبوع المنصرم حصل ما لم يكن في الحسبان, ولكن في الأسبوع الماضي، حدث ما لم يكن في الحسبان
انو لازم تسبح عكس التيار, وهو أنه يجب عليك أن تسبح عكس التيار.
فضيحه فقدان مجرم في المحكمه و اسير الرصاصه الأولى ناتالي اقليموس,فضيحة: فقدان مجرم في المحكمة، وأسير الرصاصة الأولى ناتالي إقليموس.
بتوقع يا خي ما حدا بيحكي لبناني الا برا وان ممشيت حيجي بقى ما في لبناني كلون برا حيح طق حنك,أعتقد أنه لا أحد يتحدث اللهجة اللبنانية إلا خارج لبنان، وإذا مشيت في الخارج، لن تجد أحدا في لبنان، الجميع في الخارج يتحدثون بلا معنى.
اذا ابن مرا طلاع لبرا,اخرج يا ابن أمك إلى الخارج.
ايلي حوشان متصلي يعمي قلبكن ع هل,إيلي حوشان، اتصل بي يا أعمى، لقد أسر قلوبنا.
حلوه كتير الفكره فتنا كتير بالقصه وصدقناها,الفكرة جميلة، لقد اندمجنا كثيرا في القصة وصدقناها.
ل خ ه قنص عنصرين من ميل يشيا سوات الراف ضيه غربي,ل.خ. قنص عنصرين من ميليشيا سوات الرافضية غربي.
كل السياسيين قلبهم على البلد طلع المشكل بالشعب,كل السياسيين يهتمون بالبلد، اتضح أن المشكلة في الشعب.
بكل بساطه وبحق الانسانيه بجوز عليه حكم الاعدام,بكل بساطة وبحسب حقوق الإنسان، قد يحكم عليه بالإعدام.
قمه السخريه والمهزله الاستخفاف بحياه ولقمه عيش المواطن اللبناني و المسؤولين ما يشوفوا المواطنين,قمة السخرية والمهزلة هي الاستخفاف بحياة وقوت المواطن اللبناني، ولا يهتم المسؤولون بالمواطنين.
همك مش اكبر من هم مريض ناطر وحده دم او مريض سرطان ناطر جلسه كيماوي او امرأه رايحه تولد وتجبلك اخ او اخت بالوطنيه يا غبي,همك ليس أكبر من هم مريض ينتظر وحدة دم، أو مريض سرطان ينتظر جلسة كيماوي، أو امرأة على وشك الولادة لتجلب لك أخا أو أختا، أيها الغبي الذي يدعي الوطنية.
العمى بعيونك بلا نظر,العمى في عينيك، بدون نظر.
والناس اللي بتصلي هم الهدف الرئيس للشيطان لإبعاد نفوسهم عن الرب وليكرهوه وهذا ما يحصل الآن الشك برحمه الرب وفقدان الثقه به,والناس الذين يصلون هم الهدف الرئيسي للشيطان لإبعادهم عن الرب وجعلهم يكرهونه، وهذا ما يحدث الآن، الشك في رحمة الرب وفقدان الثقة به.
شخص يقول انتي بمعزه خيي وما يكون في غايه بالكلام,"شخص يقول لك ""أنتِ مثل أخي"" دون أن يكون هناك مغزى من كلامه."
انو احسن شي تفل و تترك كلشي وراك بس صعب,من الأفضل أن ترحل وتترك كل شيء خلفك، ولكن هذا صعب.
يا حبيبي كيف بدا تعاشرو بالحمام الزاجل و انت يريبا و ما بتخليا تضهر و ولا بتخليا تحكي عالتلفون,يا عزيزي، كيف ستعيش معها وأنت تمنعها من الخروج أو التحدث على الهاتف؟
لا يغير الله مابقوم حتى يغيروا ما بأنفسهم طول ما نحنا ساكتين بالدول العربيه حتضل الكلاب تنهش جلودنا,لن يغير الله ما بقوم حتى يغيروا ما بأنفسهم، وطالما بقينا صامتين في الدول العربية، ستظل الكلاب تنهش جلودنا.
العهد القوي رح يخلينا نتمسك بلبنان القوي,هذا العهد القوي سيجعلنا متمسكين بلبنان القوي.
يصير بلد طالما في تعصب وطائفيه وتخلف وعباده للزعيم يا لبناني انت مريض نفسي بكل معنى الكلمه وبحاجه لعلاج سريع قبل فوات الأوان,لن يصبح بلدا طالما هناك تعصب وطائفية وتخلف وعبادة للزعيم، أيها اللبناني، أنت مريض نفسي بكل معنى الكلمة وتحتاج إلى علاج سريع قبل فوات الأوان.
هذا العجوز الي طلع يقول ب غلطه الرب البنت بحب قلو اكبر غلطه انو بناتك بعد ما ارتكبو فيك جريمه يا جاهل,هذا العجوز الذي خرج يقول إن ما حدث للبنت هو غلطة الرب، أحب أن أقول له إن أكبر غلطة هي ما ارتكبته بناتك في حقك يا جاهل.
هيك بسوقو يا حمار,هكذا تسوق أيها الحمار.
مع الست نجوى حضور صوت هضامه اناقه منوره البرنامج,مع السيدة نجوى، حضور صوتي رائع وأناقة مشرقة، تضيء البرنامج.
خليك حلو تنظل نحبك,ابقَ جميلا لنظل نحبك.
واضح من التصريح انه متعاطي,من الواضح من التصريح أنه متعاطٍ.
انتظروا الفنان ضيف الإعلامي في برنامج الليله على قناه بتوقيت,انتظروا الفنان ضيف الإعلامي في برنامج الليلة على القناة في تمام.
حدا يعطي هيشو حبه تحت اللسان,أعطوا هيشو حبة تحت اللسان.
جمال فياض شخصيه تلفزيونيه رائعه الغريب انه ما حدا اكتشف مواهبو لبرنامج تلفزيوني,جمال فياض شخصية تلفزيونية رائعة، من الغريب أنه لم يكتشف أحد مواهبه لبرنامج تلفزيوني.
ترامب يؤكد انه كان يعتزم من البدايه اقاله مدير اف بي اي,ترامب يؤكد أنه كان ينوي منذ البداية إقالة مدير مكتب التحقيقات الفيدرالي.
من هنا يبدأ ينهارنا,من هنا يبدأ انهيارنا.
مناديل معطره خاليه من الكحول مطلوب وكلاء حصريين,مطلوب وكلاء حصريون لمناديل معطرة وخالية من الكحول.
الوزير الدكتور نحن كلنا في التيار الوطني الحر بلا حصانه,الوزير الدكتور، نحن جميعا في التيار الوطني الحر بدون حصانة.
لما فتت ع امتحان و طلعلي سؤال من اللي درستو,عندما دخلت الامتحان، ظهر لي سؤال مما درسته.
من كترت السيليكون ما بقى تفرق بين الجغرافيا والتاريخ,من كثرة السيليكون، لم تعد تستطيع التفريق بين الجغرافيا والتاريخ.
يفكر بقى انو لبنان هوي تاتضللوا تنهشوا في تركوا يقوم بقى,ليتركوا لبنان، دعوه يقوم من جديد.
لغيرنا لهلسبب اليوم انا اخدت عهد على حالي انو لم ا ربنا يحرمني من حياتي رح اوهبا لغيري كرمال يضل قلبي ينبض ولو بجسد تاني,غيرنا هذا السبب اليوم، لقد أخذت على نفسي عهدا أنه إذا حرمني الله من حياتي، سأهبها لغيري لكي يستمر قلبي في النبض، حتى لو كان في جسد آخر.
الفيتامين في مواجهه التوحد,الفيتامين في مواجهة التوحد.
ما تخلو قانون الستين يمر بفازلين,لا تدعوا قانون الستين يمر بفازلين.
اذا بتزعلها جبلها لوح شوكلاته لوح بزعلها ولوح براضيها عارف ما في فرق,إذا أغضبتها، أحضر لها لوح شوكولاتة، لوح ليغضبها ولوح آخر ليرضيها، أعرف أنه لا يوجد فرق.
يضيعلنا وقتنا ويقطع المهل بقوانين مسخره,يضيع وقتنا ويقطع المهل بقوانين مسخرة.
انو يكون عندو شعبيه فخامتو خاصه جنس حواء,أن تكون لديه شعبية خاصة بين النساء.
من يومين و اليوم,منذ يومين وحتى اليوم.
اكيد جوزيف اعلامي رائع ومثقف ومحترم انا سوريه وبفتخر فيه,بالتأكيد، جوزيف إعلامي رائع ومثقف ومحترم، أنا سورية وأفتخر به.
نقيب اخوات الكميونات النجس,نقيب أخوات الكميونات القذر.
كن وكيلا حصريا لوكاله هابي فرش بمنطقتك,كن وكيلا حصريا لوكالة هابي فرش في منطقتك.
كبرها بتكبر وصغرها بتصغر المغيطه,كبرها تكبر، وصغرها تصغر، المغيطة.
الطفله رح تطل لاول مره الليله ببرنامج تابعونا الساعه عبر ال مع,الطفلة ستظهر لأول مرة الليلة في البرنامج، تابعونا في تمام الساعة عبر القناة.
عن جد حلقه اليوم روعه اهل البيت و الضيوف عملو جو بيعقد,حلقة اليوم رائعة حقا، لقد أضاف أهل البيت والضيوف جوًا رائعا.
ضرب مرأه بلا ما يستحي قدام العالم كلها تافه قليل فيك الحبس,ضرب امرأة دون خجل أمام الجميع، تافه، قليل الحياء، يستحق الحبس.
يا ريتني غفيت بكير و لا بلشت احضر اندبحت,أتمنى لو كنت نمت مبكرًا ولم أبدأ في المشاهدة، لقد ذبحت.
العالم محترق دينها بالعجقه و هني عم يأرغلو,الناس يحترقون في الزحام، وهم يستمرون في الجدال.
اذا كان للقطط سبعه ارواح فبعض البشر لديهم سبع وجوه,إذا كانت للقطط سبعة أرواح، فللبشر سبعة وجوه.
مش بس الحكي و الحب اللبناني و الاكل اللبناني و القعدي اللبنانيه والروح اللبنانيه و النفس اللبناني,ليس فقط الكلام والحب اللبناني والطعام اللبناني والجلسات اللبنانية والروح اللبنانية والنفس اللبنانية.
جمهورك يا هيشو قرفو منك,يا هيشو، لقد سئم جمهورك منك.
لك بس ما بهمني رأيك,لا يهمني رأيك على الإطلاق.
مشكلتي اذا زعلت عقلي بيتحول لمخرج بزيد احداث من عندو عشان ازعل زياده,مشكلتي هي أنه إذا غضبت، يتحول عقلي إلى مخرج ويضيف أحداثًا من عنده ليجعلني أغضب أكثر.
قديشك انسان غبي و تافه انسان متسل ط بلا فهم,كم أنت إنسان غبي وتافه ومتسلط بلا فهم.
العمر كله يا حبيبه قلبي لين,كل العمر يا حبيبة قلبي لين.
انت في الطليعه انتهى البيان,أنت في الطليعة، انتهى البيان.
بحس حالي اني ضيف,أشعر أنني ضيف.
كلمه تدل على ان المسلم يخاف على المسيحي والمسيحي يخاف على المسلم والس ني يخاف على الشيعي والشي,كلمة تدل على أن المسلم يخاف على المسيحي، والمسيحي يخاف على المسلم، والسني يخاف على الشيعي.
في ماضي منيح بس مضى صفى بالريح بالفضا,كان هناك ماضٍ جيد، لكنه مضى وأصبح في الريح والفضاء.
سنه كانت ملكه قرطاج هه,كانت ملكة قرطاج لمدة عام.
برافو عادل حلقه قويه ليوم,برافو عادل، حلقة قوية اليوم.
بكيتونا والله الله يصبرك انتي وبيو,لقد أبكيتونا، الله يصبرك أنت ووالدك.
ابراهيم كنعان ولا اهضم,إبراهيم كنعان، أكثر شخص ظريف.
كاهن عبده الشياطين هه,كاهن يعبد الشياطين، هه.
انجلينا ازا عزتي براد موجود منتفق وقت الطلعا وبعدين منرجع منطلق شورايك,أنجلينا، إذا أردتِ أن تخرجي، براد موجود، دعينا نتفق على وقت للخروج، ثم نعود ونطلق النار، ما رأيك؟
ما بينكسر فكيف اذا هالأسطوره هو ي,لا ينكسر، فكيف إذا كان هذه الأسطورة هو أنت؟
انو البلد ماشي بيطلع انو انت يللي ماشي,أن البلد يسير، هذا يعني أنك أنت الذي تسير.
فكره كتير ذكيه انشالله توصل الرساله,فكرة ذكية جدًا، آمل أن تصل الرسالة.
نقبلت بالوظيفه بلا واسطه,تم قبولي في الوظيفة بدون واسطة.
ولو يا دوله الرئيس لو سج ل وصو ر بس الجلسه منقوله كمان كان فيها ثقافه,حتى لو كان الأمر كذلك يا فخامة الرئيس، لو سجلوا وصوروا الجلسة، لكان فيها ثقافة أيضًا.
للبنانيين اقول شرم مبرور وشيخ مشكور,لللبنانيين أقول، رحلة موفقة وشيخ مشكور.
و لشو تشتري سياره ما زال كلمه بتاخذك و كلمه بتجيبك,ولماذا تشتري سيارة وما زالت الكلمة تأخذك والكلمة تجلبك؟
الهدف من وجود النقابات توحيد الجهود للضغط على السلطه و الحفاظ على حقوق العاملين و ليس الحفاظ على حقوق زعيم الحزب التابعه له,الهدف من وجود النقابات هو توحيد الجهود للضغط على السلطة والحفاظ على حقوق العاملين، وليس الحفاظ على حقوق زعيم الحزب التابع له.
انو رح نصدق انو المشكل فكره قانون او اقتراح المشكل بفكره لبنان وحري ه البشر المتساوين فيه,أننا سنصدق أن المشكلة هي فكرة قانون أو اقتراح، المشكلة هي فكرة لبنان وحريته، والمساواة بين البشر فيه.
ننكسر لداعش و ننسحب من المعركه لو اسرائيل هددت نحن منفعل متل ما عملنا جوله سياحيه للاعلام نحن ابناء الحق,ننكسر لداعش ونسحب من المعركة، لو إسرائيل هددت، نحن لا نفعل شيئًا، كما فعلنا جولة إعلامية، نحن أبناء الحق.
بس لا تتعلم عادات وتقاليد اللبناني,لا تتعلم عادات وتقاليد اللبناني.
اللعنه على الحكم المجري كاساي الى يوم الدين افسد كل الموسم بصافرته المشؤومه,اللعنة على الحكم المجري كاساي إلى يوم الدين، لقد أفسد الموسم بأكمله بصافرته المشؤومة.
على فكره العهد الجديد كتير حلو ورئيس لكل لازم يعمل متلك ويركب بسكلات ما كان صار فيهم هيك,على فكرة، العهد الجديد جميل جدًا، وعلى كل رئيس أن يفعل مثلك ويركب الدراجة، لما حدث لهم هذا.
اوبك تحسن توقعاتها حول الطلب على النفط في عام,أوبك تحسن توقعاتها بشأن الطلب على النفط في عام 2023.
صباحو يا احلى عالم بالعالم,صباح الخير يا أجمل عالم في العالم.
ارجعي يا ايفانكا والله منعطيك الكعبه,ارجعي يا إيفانكا، والله سنعطيك الكعبة.
دخلكن حدا يسأل ي نهاد المشنوق شايف تخ رطش السلاح والإعتداء عالمواطنين قدام عيون القوى الأمنيه يلي اصلا ما تحركوا,هل يمكن لأحد أن يسأل نهاد المشنوق عما يراه من انتشار السلاح والاعتداء على المواطنين أمام أعين قوات الأمن التي لم تتحرك أصلاً؟
في حب اصلي وفي حب تقليد,هناك حب أصلي وهناك حب تقليد.
يقول انو مشكله التيار هي النسبيه المشكله هي حول مفهوم النسبيه كالحريه والاستنساب عند ترجمتها,يقول إن مشكلة التيار هي النسبية، المشكلة هي حول مفهوم النسبية مثل الحرية والاستنساب عند ترجمتها.
فقط لتذكير لبنان لديه رئيس واحد وليس ثلاثه ف ندير دينينا لغير الرئيس ايف يو نو وات اي مين,فقط للتذكير، لبنان لديه رئيس واحد وليس ثلاثة، فلندير ديننا لغير الرئيس، إذا كنت تعرف ماذا أقصد.
السلام عليكم ورحمه الله وبركاته,السلام عليكم ورحمة الله وبركاته.
شيرين ربحت بس ما عند اعمال جديده,شيرين فازت ولكن ليس لديها أعمال جديدة.
انو وقفت الحرب بسوريا,أن الحرب في سوريا توقفت.
برنامجك كتير مرت ب,برنامجك رائع حقًا.
حبيبي صعب تخبي عليي انك مغروم ودايب فيي,حبيبي، من الصعب أن تخفي عني أنك مغرم ومتيم بي.
علقانين على الوسخ و على سمعت لبنان يلي بتشرف علقانين ناطرين شايفين مستقبلنا ضايع علقانين و معل قين على امل يصير عنا بلد,نحن عالقون في القذارة وعلى سمعة لبنان التي تشرفنا، نحن عالقون، ننتظر، نرى مستقبلنا يضيع، ونحن عالقون ومعلقون على أمل أن يكون لدينا بلد.
الدكتاتوري والاقطاعي والفاسد قربت نهايتكم,أيها الديكتاتوري والإقطاعي والفاسد، اقتربت نهايتكم.
يا قحبه يا شلكيه شلتي الي فيكي وحطيطيهم فيي,يا عاهرة، يا شلبية، لقد أخذتِ ما في داخلي ووضعتيه في داخلي.
خيي رح يشكر كل العيله اسم اسم صحيح اذا خايف وهيك,سيشكرك أخي على كل العائلة، اسمًا اسمًا، إذا كان خائفًا وهكذا.
كل الجوائز بيلبقولك و كل الجوائز قليله ع اسمك و ايمانك و نجاحك,كل الجوائز تليق بك، وكل الجوائز قليلة على اسمك وإيمانك ونجاحك.
نسيني حالي كل ما تعبو عيوني و غفيو انت تفيقني,أنسى نفسي كلما تعبت عيوني ونامت، أنت توقظني.
تفضلو تغدو معنا بس اكيد لازم تقولو لأ تضلو بخير مش عاملين اكل كفايه بس نحنا شعم منافق بيعرض شي ما ب,تفضلوا وتغدوا معنا، ولكن بالتأكيد يجب أن تقولوا لا، ابقوا بخير، لم نعد طعامًا كافيًا، ولكننا شعب منافق يعرض ما لا يملك.
بدي نفس المقاس بس اصغر بنمره,أريد نفس المقاس ولكن أصغر برقم واحد.
كيف تتحكمين في شهيه طفلك احذري مكافآت الحلوى,كيف تتحكمين في شهية طفلك؟ احذري مكافآت الحلوى.
ياخي والله قلبي بس يعورني اخخ,يا أخي، والله قلبي يؤلمني.
كل واحد فيهن قد الثور وقاعد عم يأرغل ومش سئلان عن العالم لي احترق سلافها وهي ناطره بسياراتها وعالطرقات,كل واحدة منهن بحجم الثور، تجلس وتجادل دون الاهتمام بالعالم الذي احترق سلطته وهي تنتظر في سياراتها وعلى الطرقات.
شو باقي من هالبيك اب يا احميد هه,ماذا تبقى من هذا البيك آب يا أحمد؟ هه.
ما تكبر علي كبرك يا زغير والله اشتقنا عادل,لا تتكبر علي، كبرك يا صغير، والله اشتقنا لك يا عادل.
اكييد مافي شك هاد ابو الياس الملك,بالتأكيد لا شك في ذلك، هذا أبو إلياس الملك.
اي طبعا بس انا قصدت شي تاني,نعم، بالطبع، ولكنني قصدت شيئًا آخر.
بعناق الروح ايهما انت,بعناق الروح، أيهما أنت؟
انك حتى لو كنت مظلوم ما فيك تزعل من حبيبك,أنك حتى لو كنت مظلومًا، لا يمكنك أن تغضب من حبيبك.
كل الطرقات بتودي ع الطاحون الا طرقات لبنان مسكره ع الطاحون,كل الطرق تؤدي إلى الطاحونة، باستثناء الطرق اللبنانية المغلقة أمام الطاحونة.
انو حزنك اكبر من انو حدا يحس في وفرحك ابعد من انك توصل و,أن حزنك أكبر من أن يشعر به أحد، وفرحك أبعد من أن تصل إليه.
تمنيت ارجع ع شام,تمنيت أن أعود إلى الشام.
مفكر حالو شغله كبيره,يفكر أنه شيء كبير.
هيدا عادل كرم اللي بينرفعلو القبعه هيدي لفته انسانيه,هذا هو عادل كرم، الذي ترفع له القبعة، هذه لفتة إنسانية.
ينباعو بالعزا كلم سوا,يُباعون في العزاء، كلمة واحدة معًا.
بإلغاء الطائفيه السياسيه من النفوس قبل النصوص,بإلغاء الطائفية السياسية من النفوس قبل النصوص.
بزمن اميركا بتخلق الفزاعه وبتغذيا وبتبعتا عالدول تا تركعا وبتعمل حروب بحجه الارهاب تا تاخد ثروات العالم التالت,في زمن أمريكا تخلق الفزاعة وتغذيها وترسلها إلى الدول لتركيعها، وتشن حروبًا بحجة الإرهاب للاستيلاء على ثروات العالم الثالث.
يا خوفي يصير بيناتنا انفولو,يا خوفي أن يحدث انفولو بيننا.
يزيح عن خط الجنرال,يزيح عن خط الجنرال.
مسي مسي فوت كول اوعى الخسي,مسي مسي فوت كول، لا تدخل الخسيس.
هشام نقولك علاه احلى منك عامر لانو عندو شعر,هشام، نقولك ليه عامر أحلى منك، لأنه عنده شعر.
العلاقات السلبي ه بين الأطراف اللبناني ه لن تبقى و لن تستمر,العلاقات السلبية بين الأطراف اللبنانية لن تبقى ولن تستمر.
علقانين بين اثنين الطبقه السياسيه الفساده و حتان المال الذين دمرو شعب لبناني ب شئ اسمه البنوك و القروض,نحن عالقون بين طبقتين، الطبقة السياسية الفاسدة وحيتان المال الذين دمروا الشعب اللبناني بشيء اسمه البنوك والقروض.
جماعه حزب الله ونبيه بري يتهجمون بكل وقاحه على المواطنين العالقين ويعتدون عليهم بالضرب والتكسير اين وزاره ال,جماعة حزب الله و نبيه بري يتهجمون بكل وقاحة على المواطنين العالقين ويعتدون عليهم بالضرب والتكسير، أين وزارة الداخلية؟
امراه تقول فخوره بنفسي و لا انكر حقيقه عمري,امرأة تقول فخورة بنفسي ولا أنكر حقيقة عمري.
بقى يحكينا بالوطنيه ويتظاهر بالعلمنه وهوي بالحقيقه مخبا بتيابو و رضعان طائفيه منقل لو انتهى هذا الزمن,يتحدث عن الوطنية ويتظاهر بالعلمانية، لكنه في الحقيقة مختبئ بثيابه ويرضع الطائفية، لو انتهى هذا الزمن.
مش عايز حدا يكون حدك,لا أريد أحدًا أن يكون بجانبك.
شو يا حلو في منك ع جلو,ما هذا يا حلو، هناك منك على الجليد.
روسيا تتحكم بكامل الأجواء السوريه نقطه تحو ل في الحرب,روسيا تتحكم في الأجواء السورية بالكامل، نقطة تحول في الحرب.
دان قطع الطرقات واعتبره عملا غير مقبول فضلا عن موقفه الرافض للمرامل والكسارات التي شوهت المناطق وأفسدت البيئه,دان قطع الطرق واعتبره عملاً غير مقبول، فضلاً عن موقفه الرافض للمرامل والكسارات التي شوهت المناطق وأفسدت البيئة.
يختتم مهرجانات طرابلس الدوليه,يختتم مهرجانات طرابلس الدولية.
الناس يلي بحياتي عاملين سبق مين يطلع اوطى من الثاني بالدور يا جماعه,الناس الذين في حياتي، من سيفوز بالسباق إلى الأسفل؟ يا جماعة، من سيكون الأدنى؟
ملاك بالسما فعلا تمن الإهمال غالي جدا,ملاك في السماء، الإهمال مكلف حقًا.
تك ه ساعه فشخه كم,تُكه ساعة فشخة كم.
الف تحيه اليك جو الله يوفقك دائما بتألق,ألف تحية لك يا جو، الله يوفقك دائمًا ويتألق.
لغه من ابداع الشعب اللبناني حيث لا يفهمها سوى لبناني الجنسيه وتدل على العفويه مثال حل عني,لغة من إبداع الشعب اللبناني، حيث لا يفهمها سوى اللبنانيين، وتدل على العفوية، مثال: حل عني.
انو في راس رح يخرق سقف الدستور من الآن فصاعدا,أن هناك رأسًا سيخرق سقف الدستور من الآن فصاعدًا.
انو احمر بالخط العريض يللي بيحضرو,أن الأحمر بالخط العريض هو ما يشاهده الحضور.
فيفيان من اقوى الممثلين,فيفيان من أقوى الممثلين.
يقطع عمرك فضوليه ملفت للأنتباه وسخ,يقطع عمرك، فضولية ملفتة للانتباه وسخة.
انو ما يصير في محاسبه بالانتخابات,أنه لا توجد محاسبة في الانتخابات.
نوصل لوقت بالقريب نتغنى فيه بالدوله,نصل إلى وقت قريب نتغنى فيه بالدولة.
كل السنابات الي صورتها و لسا ما طلعت بيروت اليوم ان شاء الله,كل السنابات التي صورتها ولم تظهر بعد، إن شاء الله اليوم في بيروت.
سكر عسل كنافه ما تقولي كلمه حلوه هول كلمات حلوين,سكر وعسل وكنافة، لا تقولي كلمة حلوة، هذه كلمات حلوة.
