Original_Dialect,MSA_conversion
الأولاد يصورون الجو .,الشباب يلتقطون صورا من الجو .
بنت صغيرة وأبوها يصورون وهم يتمشون في الحديقة.,طفلة ووالدها يلتقطان صورا أثناء تنزهما في الحديقة.
موتر البناء برا.,سيارة البناء في الخارج.
يلبس راكب الأمواج بدلة غواصين سوداء .,يرتدي راكب الأمواج بدلة غواصين سوداء .
الرجال برا جنب لوحة الحافلات .,الرجل في الخارج بجوار لافتة الحافلات .
فيه كلب في الصورة.,يوجد كلب في الصورة.
ولدين يلبسون ملابس للسباحة,صبيان يرتديان ملابس للسباحة
حرمة عجوز تدف عربة .,سيدة مسنة تدفع عربة
رجال يعزف على بوق فرنسي عشان يلفت الإنتباه .,رجل يعزف على بوق فرنسي لجذب الانتباه .
يعزف الناس الموسيقى هذا الأسبوع عشان الإحتفال .,يعزف الناس الموسيقى لاحتفال هذا الأسبوع .
عامل على الأرض يناظر لقاعدة الأساس.,عامل على الأرض ينظر إلى قاعدة الأساس.
رجال يقطع السمك .,رجل يقطع السمك .
ولدين يمسكون بدباب .,صبيان يمسكان بدراجة .
تلعب الكلاب في الهواء الطلق.,تلعب الكلاب في الهواء الطلق.
تلعب قطوتنن في الموية.,تلعب قطتان في الماء.
تاكل بنت المكرونة كلها ، ومابقت  منها شيء لصديقتها.,تأكل فتاة المعكرونة كلها ، ولا تبقي منها شيئا لصديقتها.
فيه ذكر وأنثى جوا.,هناك ذكر وأنثى بالداخل.
مجموعة من الناس يوقفون في واحد من المخازن.,مجموعة من الناس يقفون في أحد المخازن.
ولد يركب دباب بكفر واحد.,شاب يركب دراجة أحادية.
فيه ناس جنب كورة قدم.,هناك أشخاص بالقرب من كرة قدم.
وحش طلع من المحيط.,وحش خرج من المحيط.
ولدين يركبون القارب آخر النهر.,شابان يركبان الرمث أسفل النهر.
عمال يشيلون زبالة الشارع.,عمال يزيلون قمامة الشارع.
البنات والولد برا.,البنات والولد والخارج.
تمثال الطير يشيل زهرة.,تمثال الطائر يحمل زهرة.
اثنين بالغين يتطاقون في الشارع بعد مباراة لكورة القدم.,شخصان بالغان يتقاتلان في الشارع بعد مباراة لكرة القدم.
راعي البقر كان بييطيح من على الثور.,راعي البقر على وشك أن يترنح من على الثور.
رجال يقعد على كرسي يقرا كتاب .,رجل يجلس على كرسي يقرأ كتابا .
بزر نايم وأمه تدفه في عربة البزران.,طفل نائم في حين أن والدته تقوم بدفعه في عربة الأطفال.
مجموعة من الناس رايحين يركضون .,مجموعة من الناس يذهبون للجري.
عمال المصنع يصلحون قوارير,عمال المصنع يصنعون زجاجات
ثلاثة رجاجيل يستعدون لسباق ماراثون.,ثلاثة رجال يستعدون لسباق ماراثون.
واحد يتعلم السباحة.,شخص يتعلم السباحة.
الناس يمشون مع بعض برا.,الناس يسيرون كمجموعة في الخارج.
يركض كليبن ورا كورة برا.,يركض كلبان خلف كرة في الخارج.
رجال توه جاي من البحر لابس بدلة الغوص والحين شايل معاه صندوق.,رجل جاء لتوه من البحر يرتدي بدلة الغوص والآن يحمل صندوق.
رجال آسيوي شاف شغلة لها زخارف كثيرة فوي خلفيتها حروف صينية.,رجل آسيوي يشاهد حدثا ذا زخارف كثيرة في خلفيتها حروف صينية.
كلب أسود قاعد يلعب بلعبة خضراء.,كلب أسود يلعب بلعبة خضراء.
جهاز الدي جي يشتغل في النادي,جهاز الدي جي يعمل في النادي
ثلاثة أشخاص يحترون الناس جنب جدار حجر.,ثلاثة أشخاص ينتظرون الناس بجوار جدار حجري.
رجال مصحصح مرة في القطار.,رجل يقظ تمامًا في القطار.
فيه واحد يتصارع .,هناك شخص يتعارك.
زوجين يلعبون كورة الموية في العطلة.,زوجان يلعبان كرة الماء في الأجازة.
مر الموتر جنب ناس ووقاهم من المطر,مرت السيارة بجوار الأشخاص مانعة عنهم المطر
بنية صغيرة تناظر صورتها المنعكسة في بركة ماء.,طفلة تنظر لصورتها المنعكسة في بركة ماء.
الرجال يختبر الهدف في مسدسه الجديد.,الرجل يختبر الهدف في مسدسه الجديد.
ولدين يتمرجحون في ملعب مزدحم.,طفلان يتأرجحان في ملعب مزدحم.
حرمة رسمت وجهها.,امرأة رسمت وجهها.
كلب يسأل وين رفيقة.,كلب يتساءل أين رفيقة.
ولد يلبس بدلة دافية لونها أصفر في أسود ويلعب مع كلب بني لابس طوق أحمر.,صبي يرتدي بدلة دافئة لونها أصفر في أسود يلعب مع كلب بني يرتدي طوق أحمر.
الحريم يلعبون سباق التزحلق وطاحت وحدة تلبس أصفر.,تلعب النساء سباق التزلج وسقطت واحدة ترتدي الأصفر.
فيه رجال ياكل العشاء في واحد من المطاعم.,هناك رجل يتناول العشاء في أحد المطاعم.
الناس متجمعة في المسرح.,جمهرة في المسرح.
نفض الحكم الغبار عن غطاء الملعب عشان يشوفه زين.,نفض الحكم الغبار عن صفيحة الملعب لكي يراها بشكل أفضل.
بنت تتشقلب.,فتاة تقوم بالشقلبة.
الرجال موب على دباب.,الرجل ليس على دراجة نارية.
مراهق ينام على حصيرة,مراهق ينام على حصيرة
عالم ماعنده مجهر يناظر فيه.,عالم لا يوجد لديه مجهر لينظر إليه
ولد صغير معجبة موتر رياضي أخضر.,طفل صغير معجب بسيارة رياضية خضراء.
كثير من الرجاجيل والحريم يمشون من مزرعة.,العديد من الرجال والنساء يجتازون مزرعة.
البنت شافت الموتر.,الفتاة شاهدت السيارة.
الرجال بيصير عمره هالسنة 49 .,سيبلغ الرجل سن 49 هذا العام.
رجال يمسك بمزمار.,رجل يمسك بمزمار.
رجال يلبس لبس شخصية فيلم يشيل بندقية في بهو صالة السينما.,رجل يرتدي زي شخصية فيلم يحمل بندقية في بهو صالة السينما.
كلب يركض ويمسك بالكورة,كلب يجري ويمسك بالكرة
كلب يركض للبيت,كلب يعدو للمنزل
رجال يتسلق على البحر,رجل مستلق على الشاطئ
اثنين بالغين وبزرين يجلسون على كرسيس في حديقة وفيه واحد يصورهم.,شخصان بالغان وطفلان يجلسان على مقعد في حديقة بينما يقوم شخص ما بالتقاط صورة.
حرمة أسيوية تبتسم لكاميرا,امرأة أسيوية تبتسم لكاميرا
حرمة ماتحب اللبس الرمادي.,امرأة تكره السترة الرمادية.
كلب يركض عند العشب.,كلب يعدو عبر العشب.
حرمة ورجال خلصوا تو من عرسهم.,امرأة رجل انتهيا لتوهما من زفافهما
بزر مزعور يمتطي وهومعصب خيل.,طفل مزعور يمتطي بعصبية حصان.
حرمة ورجال صغير برا مع حيوان.,امرأة ورجل صغير في الخارج مع حيوان.
رجال يشوت رجال ثاني .,رجل يركل رجل آخر.
ثلاث بنات يتشقلبون على البحر .,ثلاث فتيات يقومن بالشقبلة على الشاطئ.
رجالين يقرون في القطار,رجلان يقرآن في القطار
رجال يستعمل  منشار في المعرض.,رجل يستخدم منشار في المعرض.
ولد يركب دباب في الحديقة.,صبي يركب دراجة ركوب في الحديقة.
حرمة تسفع على البحر.,امرأة تسفع على الشاطئ.
حرمة تغسل.,امرأة تغسل.
البزر يساعد أمه.,الطفل يساعد أمه.
ولد جالس في آخر الصف معاه صف من الأرجل والجزم السوداء.,صف من الأرجل والأحذية السوداء مع صبي يجلس في نهاية الصف.
عامل يصلح دعامة المرفق.,عامل يصلح دعامة المرفق.
الحريم قاعدين.,النساء يجلسون.
المراهقين راكبين باص المدينة.,المراهقون على متن حافلة المدينة.
مجموعة من الحريم يعرضون للجمهور.,مجموعة من النساء يعرضون للجمهور.
الرجال مثلي الجنس,الرجال مثلي الجنس
الرجال عنده شال أبيض وأسود حول رقبته ولابس طاقية سوداء.,الرجل لديه وشاح أبيض وأسود حول رقبته ويرتدي قبعة سوداء.
الفرقة الموسيقية اللي لابسه لبس أصفر وأخضر تمشي على أرض الملعب.,الفرقة الموسيقية التي ترتدي زي أصفر وأخضر تسيرعلي أرض الملعب.
الأصدقاء، مبسوطين مع بعض ومعهم مشروب برا.,الأصدقاء، يتمتعون معا بمشروب في الخارج.
رجال ينفخ في البوق في الفرقة الموسيقية.,رجل ينفخ في البوق في الفرقة الموسيقية.
العلماء مايحبون العلم,العلماء يكرهون العلم
البزر يلاحق البط في الحديقة وهو مبسوط.,الطفل يطارد البط في الحديقة بسعادة.
اللي يركب الدباب في محل للدبابات.,راكب الدراجة النارية في متجر للدراجات.
مدرسة مليانة بالبزران .,مدرسة ممتلئة بالأطفال.
رجالين وحرمة يشتغلون في مقصورات.,رجلان وامرأة يعملون في مقصورات.
الحرمة تعلم البنت الحياكة.,المرأة تعلم الفتاة الحياكة.
فيه قارب يقاوم لايغرق في منطقة النهر اللي بين صخرتين .,هناك زورق يقاوم في منطقة النهر المنحدرة بين صخرتين .
الغرفة اللي فيها زملاء الصف يتفرجون على فيلم.,غرفة زملاء الصف يشاهدون فيلما.
ولد يلعب بوحدة التحكم حقت الألعاب العامة.,شاب يلعب بوحدة تحكم الألعاب العامة.
رجال يحاول يتكلم.,رجل يحاول التواصل.
رجال لابس أصفر يتزحلق بالطمر فوق برميل.,رجل يرتدي أصفر يتزلج قفزا فوق برميل.
بعض الناس مايأشرون بالأعلام.,بعض الناس لا يلوحون بأعلام.
عصا ممسوكة من واحد لابس ملابس غامقة.,عصا ممسوكة من قبل شخص ذي ملابس داكنة.
رجال قاعد لحالة يقرأ على طاولة مدورة برا واحد من المحلات,رجل جالس بمفرده يقرأ على طاولة مستديرة ، خارج أحد المتاجر.
يتسابقون بعض الرجاجيل في مسابقة التزحلق,يتسابق بعض الرجال ضمن مسابقة التزلج.
فيه بنات يمشون مع بعض,هناك فتيات يمشين متجاورات
رجال لابس بلوزة بيضاء يمشي على العشب الطويل وماسك عصا,يمشي الرجل ذو القميص الأبيض على العشب الطويل ممسكا بعصا.
ثلاثة رجاجيل يتمشون عند بسطة بيع الفاكهة,ثلاثة رجال يتسكعون عند فرشة بيع الفاكهة.
بعض الناس يمشون على الحجر اللي في الموية,يسير بعض الأشخاص على بعض الصخور الموجودة في الماء.
كانت الحرمة قاعدة تحط المكياج,كانت المرأة تضع المكياج.
وحده من الحريم تبيع المحصول,تبيع إحدى النساء المحصول.
ولد لابس بلوزة سوداء يمشي على الرصيف,يسير شاب ذو سترة سوداء على الرصيف.
واحد يقدم حفل طرب,يقدم شخصٌ حفلا موسيقيا.
رجالين رايحين الشغل,يذهب رجلان إلى العمل.
الحرمة شايله عمل فني في المدرسة,تحمل المرأة عملا فنيا في المدرسة.
حرمة واقفة على كرسي تدق عود قدام البيت الأبيض,تقف امرأة تعزف القيثارة على كرسي أمام البيت الأبيض.
حرمة موجودة داخل غرفة الملابس اللي في اليخت,تقبع المرأة داخل غرفة الملابس الموجودة في اليخت.
فنان يوري لوحاته للموجودين,فنان يظهر لوحاته للآخرين.
حرمتين يسولفون مع بعض وفيه رجال يناظرهم,تتحدث امرأتان إلى بعضهما البعض ، بينما ينظر رجل إليهما.
في ناس لابسين ملابس بيضاء يناظرون ومركزين في الخيول,هناك أشخاص يرتدون ملابس بيضاء يحدقون في الخيول.
شايل الرجال عوده,يحمل الرجل قيثارته.
ثلوج على الأرض,ثلوج على الأرض.
الصخرة أطول من الرجال,الصخرة أطول من الرجل.
كلب بقرأ كتاب للبزر,كلب يقرأ كتابا للطفل.
فيه مجموعة ناس يناظرون معرض,هناك حشد يشاهد معرضا.
لاعبة التنس تلبس ملابس لونها برتقالي في نص مباراة لكورة المضرب,لاعبة تنس ترتدي ملابس باللون البرتقالي في منتصف مباراة لكرة المضرب.
كلبين موجودين في الثلوج وواحد منهم في فمه شيء,يوجد كلبان في الثلوج ، وفي فمم أحدهما شيء
الرجال  بيروح يسبح الحين,سيذهب رجل للسباحةحالا.
الكلب يحاول يمسك القطوة,يحاول كلب الإمساك بقطة.
كلبين يسحبون زلاجة في واحد من السباقات,يسحب كلبان زلاجة في أحد السباقات.
رجال ركب الأصنصير بيطلع للسطح,استقل رجل المصعد إلى السطح.
بنت صغيرة تلعب مع صديقتها لعبة ملابس تنكرية في الغرفة,فتاة صغيرة تلعب مع صديقها لعبة الملابس التنكرية في الشرفة.
رجال يسوق وحدة من السيارات وهو يناظر شاحنة,رجل يقود إحدى السيارات ، بينما ينظر إلى شاحنة.
حرمه تلبس لبس وردي وأسود وعندها وشم كبير على ظهرها,امرأة ترتدي ملابس وردية وسوداء لديها وشم كبير على ظهرها.
رقيب يقود قواته في التشكيل جوا غرفة كبيرة وفيها كثير من الأعلام في الخلف,رقيب يقود قواته في تشكيل داخل غرفة كبيرة مع الكثير من الأعلام في الخلفية.
البنت بدون رجلين,الفتاة بدون أرجل.
رجال لابس أسود وجالس على كرسي  في الحديقة وجنبه لوحة كبيرة,يجلس رجل مرتديا لباسا أسود على مقعد في الحديقة بجانب لوحة كبيرة.
رسم بعض الفنون على واحد من الجدران,رسم بعض الفنون على أحد الجدران.
ملابس البزر فيها لون أبيض,ملابس الطفل بها لون أبيض.
حرمتين في المطبخ يصلحون خضار في تاوة,امرأتان في مطبخ تحضران الخضار في مقلاة.
يلعب كلب بلعبته,يلعب كلب بلعبته.
الحرمة شايله بيرة,تحمل المرأة جعة.
يفرم الرجال شي على الطاولة بالسكين,يفرم رجل شيئا ما على الطاولة بالسكين.
رجالين يصلون برأ المسجد,شخصان يصليان خارج المعبد.
الولد جنب أولاد ثانين,الصبي بالقرب من أطفال آخرين.
يلبس الولد بلوزة صفراء,يرتدي الصبي قميصا أصفر.
يمشون الموسيقين مع الموكب,يسير الموسيقيون ضمن موكب.
حرمة قاعدة على البحر,تجلس امرأة على الشاطئ.
بزران يلعبون برا,أطفال يلعبون في الخارج.
مايصيح البزر,لا يبكي الطفل.
يركض الكلب في المزرعة,يركض الكلب في الحقل.
رجالين جنب عمارة,رجلان بجانب مبنى.
رجال ماعليه بلوزة طمر جنب الطبل وفيه مجموعة طبول ثانية,يبدأ رجل بدون قميص بالقفز من جانب الطبل وسط مجموعة من الطبول الأخرى.
رجال لابس لبس أبيض يمشي على الشارع,يمشي الرجل على الشارع مرتديا سترة بيضاء.
ثلاث رجاجيل واقفين قدام إشارة عليها العلم الأمريكي,يقف ثلاثة رجال أمام إشارة عليها العلم الأمريكي.
فيه رجال عند وحدة من المحطات,يتواجد رجل في إحدى المحطات.
البزر على البحر,الطفل على الشاطئ.
الناس نايمين على الكنبة,الناس نيام على الأريكة.
كلب لونه أبيض يركض برا,كلب أبيض يركض في الخارج.
حرمة لابسة جاكيت كبير,امرأة مرتدية معطفا كبيرا.
بنت تمسك يد أمها,تمسك فتاة بيد أمها.
مجموعة من الناس قاعدين يصورون,مجموعة من الناس يلتقطون صورا.
يفوز في السباق واحد على سيكل BMX,يفوز في السباق شخص على دراجة BMX
الشنطة صفراء,الحقيبة صفراء.
الحرمة تزين فطور لها ولصديقاتها,تعد امرأة فطورا لها ولصديقها.
مجموعة من الناس مجتمعين في ساحة التايمز.,يجتمع حشد من الناس في ساحة التايمز.
