Original_Dialect,MSA_conversion
احتار ابوه بتربايتو و أخدو لخالتو لتربيه مع ولادا لأنو مشغول بشغلو صبح و مسا,احتار والده في تربيته،  فأخذه إلى خالته ليعيش مع أبنائها ﻷنه مشغول في أعماله صباحا و مساءا
أبوه تزوج بعد سبع شهور من وفاة زوجتو و جاب ابنو يعيش معو,تزوج ﺃبوه بعد سبعة أشهر من وفاة زوجته و أتى بولده ليعيش معه
و بعد تلات سنين جابتلو مرتو الجديدة بنتين و صبي,و بعد مضي ثلاث سنوات أنجبت له الزوجة الجديدة بنتين و ولدا
مرت أبوه ما بتلتكش بالصغير اللي بعد ما صار عمرو أربع سنين,زوجة الأب لا تهتم بالصغير الذي لم يتجاوز الرابعة من عمره
مرت أبوه ما بتلتكش بالصغير اللي بعد ما صار عمرو أربع سنين,تهتم به الخادمة دائما و تقوم أيضا بأعمال البيت
دائما الخدامة بتدير بالا عليه و بتعمل شغل البيت,و في أحد الأيام دعت الزوجة أهلها للعشاء ،  اهتمت بهم و بأبنائها و أهملت اليتيم
و بيوم من ذات الأيام عزمت المرة أهلا ع العشا و توصت فيوّن و بولادا و أهملت اليتيم,حتى الخادمة انشغلت بالمأدبة و نسيت الصغير
حتى الخادمة انشغلت بالعزيمة و نست الصغير,إلتم شمل العائلة عندها و أخذوا يتجاذبون أطراف الحديث حتى جاء موعد العشاء ، أخذ ينظر إلى لطعام يريد أن يأكل منه
إلتم شمل العيلة عندا أعدوا يتسايروا حتى إجا موعد العشا و صار يطلّع بالأكل لياكل منو,ﺃعطته زوجة ﺃبيه بعض اﻷرز في صحن و قالت له:  اذهب من هنا و تناول عشائك في الساحة
عطتو مرة أبوه شوية رز بصحن و آلتلو روح من هون و كول عشاك بالساحة,ﺃعطته زوجة ﺃبيه بعض اﻷرز في صحن و قالت له:  اذهب من هنا و تناول عشائك في الساحة
قعد الولد بالزمهرير ياكل الرز و من شدة البرد انكمش ورا الباب,جلس الطفل في البرد القارص يأكل اﻷرز و من شدة البرد انكمش خلف أحد الأبواب
الخدامة انشغلت بشغل البيت و الولد نام بمطرحو,الخادمة انشغلت في الأعمال المنزلية و نام الطفل في مكانه
راحوا أهل المرة بعد ما استأنسوا و أكلو و بعدا أمرت مرة الأب الخادمة أنو تنضّف البيت و راحت هي تنام و ما كلّفت حالا حتى بالسؤال عن الصغير,غادر أهل الزوجة بعد أن استأنسوا و أكلوا و بعد ذلك أمرت زوجة الأب الخادمة أن تنظف البيت و آوت إلى فراشها و لم تكلف نفسها حتى السؤال عن الصغير
راحوا أهل المرة بعد ما استأنسوا و أكلو و بعدا أمرت مرة الأب الخادمة أنو تنضّف البيت و راحت هي تنام و ما كلّفت حالا حتى بالسؤال عن الصغير,عاد زوجها من العمل و سألها عن ابنه
رجع زوجا من الشغل و سألا عن ابنو,قالت له ﺇنه مع الخادمة
قالتلو أنّو مع الخادمة,و هي لا تدري هل هو معها أم لا
و هي مو عرفانة إذا كان معا أو لا,نام أبوه و أثناء نومه رأى زوجته الأولى تقول له اهتم بولدك
أبوه نام و بنومو شاف مرتو الأولانية عم تقلّو اهتم بأبنك,استيقظ مذعورا و سأل زوجته عن ابنه
صحي مرعوب و سأل مرتو عن ابنو,استيقظ مذعورا و سأل زوجته عن ابنه
طمنتلو بالو أنو مع الخادمة و ما كلّفت حالا تتأكد,طمأنته أنه مع الخادمة و لم تكلف نفسها أن تتأكد
نام مرة تانية و حلم بمرتو الأولى عم تقلّو اهتم بأبنك,نام مرة أخرى و رأى زوجته تقول له اهتم بابنك
صحي مرعوب مرة تانية و سأل مرتو عن الولد,استيقظ مذعورا مرة أخرى و سأل زوجته عن الولد
صحي مرعوب مرة تانية و سأل مرتو عن الولد,ذهب يبحث عن أبنه عند الخادمة فلم يجده عندها ، جن جنونه
راح يدور عالولد عند الخادمة فما لقاه عندا قام جن جنونو,صار يركض كالمجنون في البيت هنا و هناك حتى وجده ولكن ميتا
صار يركض متل المجنون بالبيت من محل لمحل حتى لقاه بس ميّت,لازلت أتذكر عندما كنت صغيرا
بعدني بذكر لما كنت صغير,مكثت في المستشفى  أسبوعا من جراء برد و عند خروجي سمعت الطبيب يخبر والدي بأن صحتي جيدة و لكن قد يكون لهذا المرض تأثير في المستقبل
دخلت المشفى لمدة أسبوع بسبب البرد و لما طلعت سمعت الدكتور عم يقول لأبي أنو صحتي منيحة بس ممكن يكون لهالمرضة تأثير بالمستقبل,مضت سنوات،  أصبحت شاباً ثم تزوجت
مرت السنين و صرت شب و تزوجت,مضت سنوات،  أصبحت شاباً ثم تزوجت
أحيانا بشعر بالتعب بمجرد ما أبذل مجهود صغير,أحيانا أشعر بالتعب من مجهود صغير أبذله
رحت عالمشفى لأعمل فحوصات عامة تبيّن أنو عندي ضعف بضربات القلب,ذهبت إلى المستشفى لإجراء فحوصات عامة،  تبين أن لدي ضعفا في ضربات القلب
و أنو هالضعف بسبب البرد اللي صابني سابقا أدى لروماتيزم مفصلي حاد بالقلب,و أن هذا الضعف من جراء البرد الذي أصابني سابقا ، أدى إلى روماتزم مفصلي حاد في القلب
و أنو هالضعف بسبب البرد اللي صابني سابقا أدى لروماتيزم مفصلي حاد بالقلب,قال لي الطبيب:  يجب أن تجري عملية جراحية على مستوى القلب
قللي الدكتور بيلزمك عملية جراحية ع مستوى القلب,قلت له:  ألا يمكن أن آخذ فترة راحة فقط أو أتبع علاجا ؟ قال لي يلزمك عملية جراحية على مستوى القلب
قلتلّو ما ممكن بس ارتاح و اتبع علاج قلّي بيلزمك عملية جراحية للقلب,مرت أيام بدﺃت أحس باﻹرهاق و ألم في قلبي
مرت أيام و بلّشت حس بالإرهاق و وجع بقلبي,عدت إلى الطبيب
رجعت لعند الحكيم,قال لي يجب أن تجري أشعة
قلي لازم تساوي أشعة,قال لي يجب أن تجري أشعة
بعد ما عملت التحاليل و الأشعة أخدت موعد لأدخل المشفى و ساوي العملية الجراحية,بعد ما أجريت التحاليل و اﻷشعة أخذت موعدا كي أدخل المستشفى و أجري العملية الجراحية
فقت ع شي الساعة سبعة الصبح و أخدت تكسي عالمشفى,نهضت على الساعة السابعة صباحا ﺃخذت سيارة ﺃجرة نحو المستشفى
قعدت مع الدكتور الجراح اللي رح يساويلي العملية,جلست مع الطبيب الجراح الذي سيجري لي العلمية
قعدت مع الدكتور الجراح اللي رح يساويلي العملية,فإذا بالممرض يقف عند رأسي
و إذ بالممرض بيوقف عند راسي,تكلم معي فلم ﺃجبه ، لاحظ ﺃنني مضطرب
حاكاني فما جاوبتو و انتبه أني ملبّك,كان يحمل بيده إبرة منومة،  مددت له يدي
كان حامل بإيدو إبرة تخدير مدّيتلو إيدي,ذهبت إلى طبيب العيون لأجري فحصا لأجل نظارات طبية
رحت ع دكتور العيون لساوي فحص و مشان نضارات طبية,جلست في قاعة الانتظار،  وجدت الكثير من المرضى
قعدت بقاعة الانتظار و لاقيت كتير مرضى,جلست في قاعة الانتظار،  وجدت الكثير من المرضى
شو جابك لهون,ما الذي جاء بك إلى هنا
جاي أفحص عيني عم حس بألم و بدي نضارات,جئت ﻷفحص عيني ، أحس بألم و أريد نظارات
أنت صغيرة و جاي تحطي كزلوك,أنت صغيرة و أتيت لوضع النظارات
أنت صغيرة و جاي تحطي كزلوك,إنها نظارات لأريح عيني لأنني طوال اليوم أمام الحاسوب
هاد كزلوك لريّح عيني لأني كل اليوم قدّام الكمبيوتر,تدرسين؟
بتدرسي,نعم
إي,في أي سنة؟
بأي سنة,سنة أولى جامعي
سنة أولى جامعة,سنة أولى جامعي
اتركك من الجامعة فيّا كتير مشاكل,دعك من الجامعة ، يوجد بها العديد من المشاكل
و فوق هاد و كلّو لما بتتخرّجي ما حتلائي شغل,زيادة عن هذا عند تخرجك لن تجدي عملا
كل يوم منشوف كتير من هالشباب المتخرجين من الجامعات و آعدين بلا شغل,كل يوم نرى كما هائلا من الشباب خريجي الجامعات عاطلين عن العمل
كل يوم منشوف كتير من هالشباب المتخرجين من الجامعات و آعدين بلا شغل,سمعت أنهم أعدوا عقودا لمساعدة الشباب خريجي الجامعات
سمعت أنّون ساووا عقود لمساعدة الشباب المتخرجين من الجامعات,قال لنا والده الذي يفوق عمره السادسة و الستون أن ابنه أنهى الدراسة بمستوى التاسعة أساسي و التحق بمركز التكوين المهني
قلّنا أبوه اللي عمرو فوق الستاوستين سنة أنو ابنو أخد التاسع و دخل مركز التكوين المهني,تحصل على دبلوم اختصاص ميكانيكا و بقي بدون عمل،  فيما بعد التحق بالخدمة العسكرية لمدة عامين
أخد شهادة اختصاص ميكانيك و ضلّو من دون شغل و بعدين راح عسكري سنتين,ثم بعد عودته،  حاول كأصدقائه أن يجد عملا لكن دون جدوى
و بعد ما تسرّح حاول متل رفقاتو يلاقي شغل بس ما مشي الحال,ثم قام بفتح محل
قام فتح محل,ثم قام بفتح محل
قبل وفاة محمد كل أخوتو كانوا بلا شغل أخوه الكبير عمرو تسعة و عشرين سنة و ما عندو لا شغل و لا سكن,قبل وفاة محمد كان جميع إخوته بدون عمل،  الأخ الأكبر البالغ من العمر تسعة و عشرون سنة يعاني من البطالة و بدون سكن
فإذا متل ما عم قلّك يا أميرة حياتنا صارت أسهل بفضل التطور التكنولوجي,إذا كما قلت لك يا أميرة ، لقد أصبحت حياتنا سهلة بفضل التطور التكنولوجي
صحي أنو الزمن تغير و صار في كتير مشاكل,صحيح أن الزمن تغير و أصبح فيه الكثير من المشاكل
صحي أنو الزمن تغير و صار في كتير مشاكل,لكن في القديم لم تكن الحياة سهلة كما في وقتنا الحاضر
بس بالماضي ما كانت الحياة سهلة متل هلّئ,في الماضي كان غسيل الثياب مضنيا
بالماضي كان غسيل التياب مصيبة,و الطعام يطهى على الجمر
و الأكل يطبخوه عالجمر,و حتى أنهم كانوا يقضون أياما كاملة في السفر على الأقدام للوصول إلى مكان ما
و حتى أنون كانوا يمضّوا أيام كاملة بالسفر عالرجلين ليروحوا من محل لمحل,ليس كما هو الحال الآن حيث تطور كل شيء
مو متل اليوم اليوم كل شي تطور,ليس كما هو الحال الآن حيث تطور كل شيء
مو متل أول,ليس كما في السابق
اليوم في تلفزيون و كمبيوتر و كل شي معناتا في تطور ملحوظ,الآن يوجد التلفاز و الحاسوب و كل شيء  إذا تطور ملحوظ
صحي و الله تطور ملحوظ,صحيح ، والله تطور ملحوظ
صحي و الله تطور ملحوظ,في وقتنا هذا أصبح كل شيء سهلا
بأيامنا هي صار كل شي سهل,في ما نتشارك
بشو منتشارك,نتشارك في فكرة ما
نتشارك بفكرة,تشاركونني بالأفكار
بتشاركوني بالأفكار,هكذا نساعدك ؟ ما رأيك يا أميرة هل نتشارك؟
هيك منساعدك شو رأيك يا أميرة منتشارك,هكذا نساعدك ؟ ما رأيك يا أميرة هل نتشارك؟
المهم المشاركة,المهم المشاركة
بعدو الهاتف شغّال يا فؤاد,هل لازال الهاتف يعمل يا فؤاد؟
لا والله مانو شغّال,لا إنه لا يعمل
لا والله مانو شغّال,سآتي الآن لأصلحه
طيب رح أجي صلّحو,و أنت يا أميرة كيف تحضرين للبكالوريا ؟ أم أنك خائفة منه؟
و أنت يا أميرة كيف عم تحضّري للبكالوريا ولّا خايفة منّا,لست خائفة منه
ماني خايفة منّو,و ماذا عن الأساتذة؟  ما الذي يقولونه لكم؟
و شو بخصوص الأساتذة شو عم يقولولكون,ماذا الذي يورونكم إياه؟
شو عم يورجوكون,ماذا الذي يورونكم إياه؟
بشو عم ينصحوكو و أنتو هيك,ماذا ينصحونكم وأنتم في هذه الحال؟
و أنت هي سنتك الأولى ما عندك أي خبرة,و هذا عامك الأول لا تملكين أي خبرة
طيب كل الأساتذة متفقين أنو فرحة البكالوريا ما بعدا فرحة,حسنا جميع الأساتذة يجمعون على أن فرحة البكالوريا لا تضاهيها فرحة
طيب كل الأساتذة متفقين أنو فرحة البكالوريا ما بعدا فرحة,رغم أنه تمر علينا أفراحا كثيرة
مع أنو بتمر علينا أفراح كتير,إذن يجب ألا تخافوا و أبدؤوا العمل منذ الثلاثي الأول و كل يوم
معناها ما لازم تخافوا و لازم تبدو الشغل من أول ثلاثي كل يوم,و لا نضيع وقتنا في الأمور التافهة
ما منضيّع قأتنا بأمور بلا طعمة,أدرسوا جيدا
ادرسوا منيح,لأن هذا مصيركم،  ركزوا على مواد الحفظ إلى جانب المواد الأساسية لأنها هي التي ترفع المعدل
لأنو هاد مصيركم ركّزوا ع مواد الحفظ مو بس عالمواد الأساسية لأنها هي التي بترفع المعدل,لأن هذا مصيركم،  ركزوا على مواد الحفظ إلى جانب المواد الأساسية لأنها هي التي ترفع المعدل
هالحكي صحيح بترفع المعدل,هذا صحيح،  ترفع المعدل
لسّا كمان أنت داخل تسيير عندك كتير مواد بصم,بالإضافة إلى أن تخصصك تسيير ، عندك الكثير من مواد الحفظ
فعلا لأن عنّا المحاسبة معاملا سبعة و اللي بيجيب فيّا منيح و في مادتين القانون و الاقتصاد لأنون مواد أساسية,حقا ، لدينا المحاسبة معامل سبعة من يحصل فيها علامة جيدة و في مادتي القانون و الاقتصاد ، إنها المواد الأساسية
فعلا لأن عنّا المحاسبة معاملا سبعة و اللي بيجيب فيّا منيح و في مادتين القانون و الاقتصاد لأنون مواد أساسية,صحيح
صح,بالإضافة أنصحك أن تعملي جيدا أختي أميرة
و كمان بنصحك تشتغلي منيح أختي أميرة,ماذا سأقول لك؟
شو بدي قلّك,اعملي جيدا
اشتغلي منيح,ركزي تفكيرك و اتركي اللعب جانبا و دعي عنك هذه الحكايات و صفي ذهنك
ركزي تفكيرك و اتركي اللعب ع جنب و تركك من هالحكايات و صفّي بالك,ركزي تفكيرك و اتركي اللعب جانبا و دعي عنك هذه الحكايات و صفي ذهنك
إي كل شي بوقتو,نعم كل شيء في وقته
صدقيني أنو اللي بيضيّع وقتو بالسرسرة بيخسر كتير و بيلاقي صعوبات يوم اللي بيقدم البكالوريا,صدقيني ، من يقضي وقته في اللهو يخسر كثيرا و يجد صعوبات يوما  آخر في امتحان البكالوريا
إي,نعم
إي,لاحقا سيتراكم عليك كل شيء و لن تعرفي من أين تبدئين الحفظ
بكرا بيتراكم عليكي كل شي و ما بتعرفي من وين بدك تبلّشي الحفظ,والله صحيح، أعلم أنه في تلك اللحظة سأضطرب و ستتشوش أفكاري
والله مزبوط أنا بعرف أنو بهداك الوقت رح أتلبّك و تتشوش أفكاري,إن شاء الله سيوفقك الله و يوفق جميع الذين يجتازون البكالوريا
انشاء الله الله بيوفقك و بيوفّق كل اللي رح يقدّموا بكالوريا,و الطلبة  أمثالك
و الطلبة من أمثالك,حقا أسأل الله أن يوفقك ،  و العاقبة لي لما أجتاز شهادة البكالوريا و أحصل عليها أنا أيضا إن شاء الله
عن جد الله يفتحا بوشّك و انشاء الله عقبالي لما بقدّم البكالوريا و باخدا أنا كمان,حقا أسأل الله أن يوفقك ،  و العاقبة لي لما أجتاز شهادة البكالوريا و أحصل عليها أنا أيضا إن شاء الله
رح آخدو انشاء الله بتقدير,سأحصل عليه إن شاء الله بتقدير
متل ما ألنا بهدوء ولا تلبكي حالك درجة درجة حتى تفوزي,كما يقال بهدوء و لا تتوتري، درجة درجة حتى تفوزين
معك حق درجة درجة,معك حق ، درجة درجة
معك حق درجة درجة,تريثي و بإذن الله ستنجحين و تحققين ما تتمنينه في الحياة
هدّي و بإذن الله رح تنجحي و تحققي اللي بتتمنيه بالحياة,و بالأخص ألا يذهب هذا المجهود هباء إن شاء الله
و بالأخص أنو ما يروح تعبك عالفاضي انشاء الله,أميرة،  الدراسة مفيدة
أميرة الدراسة مفيدة,لن يفيدك شيء في هذه الدنيا سوى دراستك يا بنيتي
ما حيفيدك شي غير دراستك يا بنيّتي بهالدنيا,و لا تتوقعي من الآخرين أن ينفقوا عليك لاحقا
و لا تتوقعي بكرا حدا يصرف عليكي,و لا تتوقعي من الآخرين أن ينفقوا عليك لاحقا
أهلنا مو دايمينلنا,في يوم ما سيغيب عنا والدانا
لازم تعتمدي ع نفسك و تحافظي ع حالك,يجب عليك الاعتماد على نفسك و المحافظة عليها
بهالدنيا ما في شي بيدوم من غير سلاحك,في هذه الدنيا لا شيء يدوم  سوى سلاحك
بهالدنيا ما في شي بيدوم من غير سلاحك,و دراستك هي سلاحك
و دراستك هي سلاحك,و حقا لا تعتمدي على أحد في هذه الدنيا
و بجد لا تعتمدي ع حدا بهالدنيا,هل بدأت بالتحضير لشهادتك؟
بلشت تحضّري لشهادتك,بالطبع
طبعا,هل بدأت الآن أم لا؟
بلّشت هلئ ولّا لا,هل بدأت الآن أم لا؟
أي بلّشت حضّر لشهادتي,أجل لقد بدأت بالتحضير لشهادتي
بلشتي الحفظ ولّا لسّى,هل بدأت الحفظ أم لا؟
بلّشت بالحفظ من أول درس أخدناه,بدأت بالحفظ منذ أول درس أخذناه
بلّشت بالحفظ من أول درس أخدناه,و هل تقدمتم في الثلاثي الأول أم لا؟
و تقدمتوا بالتلاتي الأول ولّا لا,نعم تقدمنا كثيرا
أي تقدمنا منيح,أقصد أنه عندما نكون في الأخير نكون مرتاحين جدا و نستطيع القيام بالمراجعة
أصدي أنو لما نوصل للأخير منكون مرتاحين كتير و منقدر نساوي مراجعة,صحيح إن شاء الله ستحصلين على البكالوريا
مزبوط انشاء الله بتاخدي البكالوريا,و أنت كيف تجدين مستواك؟ هل تفهمين جيدا ؟هل تعتقدين أنه بإمكانك النجاح؟
و أنت كيف شايفة مستواك عم تفهمي منيح أولك بتنجحي,و أنت كيف تجدين مستواك؟ هل تفهمين جيدا ؟هل تعتقدين أنه بإمكانك النجاح؟
بظن هيك بعتقد بقدر بنجح انشاء الله,أظن ذلك أعتقد أنه بإمكاني النجاح إن شاء الله
مع شوية حفظ و شوية مراجعة كل شي بيكون تمام انشاء الله,مع القليل من الحفظ و القليل من المراجعة كل شيء سيكون على ما يرام إن شاء الله
بسم الله أما هلء فرح نحكي عن مشكلة تانية صعبة هي مشكلة الدراسة,بسم الله، أما الآن فسنتحدث عن مشكلة أخرى صعبة  ألا و هي مشكلة الدراسة
بسم الله أما هلء فرح نحكي عن مشكلة تانية صعبة هي مشكلة الدراسة,لقد أصبحت الدراسة في وقتنا الحالي صعبة جدا
صارت الدراسة بأيامنا هلء صعبة كتير,كما يقال لم يعد الأساتذة يشرحون جيدا
متل ما منقول نحنا الأساتذة ما عاد شرحوا متل الخلق,حتى و إن شرحوا  لا يقدمون الكثير كي تلجأ إلى دروس الدعم ، تذهب و تسعى في كل مكان ، تدرس في البيت و خارجه
حتى لما بيشرحوا ما بيعطوا كل شي عندون مشان تلجأ لدروس الخصوصي و تشتغل بكل محل تدرس بالبيت و برّا,يداهمك الوقت ،  يداهمك الوقت
الوقت عم ينسرق منك و الوقت عم ينسرق منك,حتى هذا الأمر غريب
هلء هون كمان الأمر غريب,حتى هذا الأمر غريب
