Original_Dialect,MSA_conversion
سيدي ربي هداني للأسلام علا يديك ما عمري ما ننسا الصحبة ديالك و غادي ندعي معاك,أتذكر الكتاب الذي أهديتني عند عودتي ﺇلى بريطانيا ، لقد قرأته و ﺃردت قراءة المزيد عن الإسلام
تفكرت الكتاب اللي عطيتيني فاش كنت راجع لي نڭليز راه قريتو و بغيت نقرا كتر على الإسلام,و بتوفيق الله وجدت على غلافه عنوان ناشر الكتاب،  فراسلته لأطلب المزيد فأرسلوا لي ما طلبت
والحمد لالله لقيت في الغلاف لدريسة ديال لطبع الكتاب وطلبت منو كتوب خُرين أو صيفط لي شنو طلبت,ذهبت للمركز الإسلامي و أعلنت إسلامي و غيرت اسمي إلى اسمك لأنك صاحب الفضل بعد الله سبحانه و سأذهب  إلى مكة لأحج ان شاء الله
مشيت لصنطر الإسلامي و شهدت أو بدلت سميتي بحال سميتك حيت أنت مول الفضل بعد الله سبحانه و غادي نمشي نحج إن شاء الله,أغلقت الرسالة بسرعة ، أعدت فتحها  و قرأتها من جديد
سديت البرية دغية و عاودت حليتها و بديت نقراها تاني,هزتني الرسالة ، لم اصدق ، بكيت كثيرا  كيف أن الله هدى رجلاً إلى الإسلام على يدي
زعزعتني البرية ماتيقتش بديت غير كنبكي كيفاش سيدي ربي هدى رجل للسلام على يدي,كتاب بمائة دينار يهدي شخصا كافرا ؟ مستحيل
كتاب كيساوي مياة دينار مستحيل يهدي واحد كافر,كتاب بمائة دينار يهدي شخصا كافرا ؟ مستحيل
فرحت بزاف حيت سيدي ربي هداه و بقى فيا الحال حيت ڭلت معا راسي فين كنت هاد الوقت كامل مع الخدمة معمرى ما هدرت معا شى واحد على الإسلام,فرحت كثيرا أن الله هداه للإسلام،  و حزنت كثيرا لأنني سألت نفسي : أين كنت في هذه الفترة عن العاملين معي؟  لم أكلم أحدا عن الإسلام
هدرنا بزاف و ضحكنا بزاف ولكن عمري ما هدرت لهم على الأسلا,حدثتهم كثيرا ، مازحتهم كثيرا و لكنني لم أحدثهم عن الإسلام
هدرنا بزاف و ضحكنا بزاف ولكن عمري ما هدرت لهم على الأسلا,فكرت قليلا لو أن كل واحد ﺃهدى كتابا واحدا فقط ما  الذي سيحدث
فكرت شوية كن كان كل واحد عطى غير كتاب واحد أشنو كان غايوقع,أدرس في السنة الرابعة،  أبلغ من العمر ستة عشرة سنة و يريد أبي أن يزوجني بابن عمي،  و أنا لا أرغب في الزواج منه
كنقرا في السنة الرابعة في عمري سطاشر عام بغا بابا يزوجني بولد عمي و أنا مبغيتش نتزوج بيه,ﺃبي ﺃرغمني على الزواج منه دون ﺃن يستشيرني ، فرفضت
بابا بزز علي الزواج بيه بلا ميسولني فرفضت,لكوني طالبة و ﺃريد أن أكمل دراستي قبل الزواج
حيت أنا باقي كانقرا و بغيت نكمل قرايتي قبل الزواج,لكن تقاليدنا و تقاليد ﺃبي لا تسمح للبنت أن تبدي رﺃيها
و لكن تقاليدنا و تقاليد الواليد مكتسمحش للبنت باش تعطي الرﺃي ديالها,كلام الأب هو الذي ينفذ و الزواج سيكون رغماً عني
الهدرة ديال الواليد هي اللي كانية و الزواج غادي يكون بزز علي,كلام الأب هو الذي ينفذ و الزواج سيكون رغماً عني
هدرت مع ماما باش تهدر معاه حاولات و لكن بلا فايدة,تكلمت مع أمي لكي تكلمه،  فحاولت لكن دون جدوى
هدرت مع خوتي الكبار و حتا هوما بلا فايدة,تكلمت مع إخوتي الكبار أيضا دون جدوى
هدرت مع خوتي الكبار و حتا هوما بلا فايدة,تكلمت مع ابن عمي بخصوص موضوع الزواج،  تفهم الأمر و كلم والده أيضا
هدرت مع ولد عمي على قبل الزواج تفهم الموضوع و هدر حتى هو مع واليديه,رفض أبوه و قال له : إذا لم تتزوج بنت عمك سيقع خلاف مع عمك
مابغاش ٱباه و ڭال ليه إلى متزوجتيش بنت عمك غادي يطرا مشكل مع عمك,ذهبت وعاودت التكلم مع أبي مرة ثانية
مشيت عود هدرت مع الواليد,كلمته عن دراستي التي لم أكملها بعد و عن مستقبلي
هدرت ليه على قرايتي لي باقي مكملتش و على المستقبل ديالي,توفيت أمه يوم ولادته و تركته وحيدا
توفات أمو نهار تزاد و خلاتو بوهدو,احتار والده في تربيته،  فأخذه إلى خالته ليعيش مع أبنائها ﻷنه مشغول في أعماله صباحا و مساءا
حار الواليد ديالو في التربية ديالو و داه عند خالتو باش يعيش مع ولادها حيت كان مشغول في الخدمة الصباح و الليل,احتار والده في تربيته،  فأخذه إلى خالته ليعيش مع أبنائها ﻷنه مشغول في أعماله صباحا و مساءا
تزوج باه بعد سبعة شهور من الموت ديال مراتو و جاب ولدو يعيش معه,تزوج ﺃبوه بعد سبعة أشهر من وفاة زوجته و أتى بولده ليعيش معه
دازت ثلث سنين و ولدات ليه مراتو الجديدة جوج بنيات و ولد,و بعد مضي ثلاث سنوات أنجبت له الزوجة الجديدة بنتين و ولدا
دازت ثلث سنين و ولدات ليه مراتو الجديدة جوج بنيات و ولد,زوجة الأب لا تهتم بالصغير الذي لم يتجاوز الرابعة من عمره
مرات باه كاني مامهلياش في الصغير لي كان في عمرو ربع سنين,تهتم به الخادمة دائما و تقوم أيضا بأعمال البيت
ديما مهليا فيه الخدامة و كانت كاتشقى حتى في البيت,و في أحد الأيام دعت الزوجة أهلها للعشاء ،  اهتمت بهم و بأبنائها و أهملت اليتيم
و واحد النهار عردات الزوجة عاى عإلتها للعشا و تهلات فيهم و في ولادها و نخلات الليتيم,حتى الخادمة انشغلت بالمأدبة و نسيت الصغير
حتى الخدامة تشغلات في العرادة و نسات الصغير,إلتم شمل العائلة عندها و أخذوا يتجاذبون أطراف الحديث حتى جاء موعد العشاء ، أخذ ينظر إلى لطعام يريد أن يأكل منه
تجمعات العائلة عندها و بداو تيهدرو حتى وصل وقت لعشا بدا تيشوف ف الماكلة بش ياكل منها,ﺃعطته زوجة ﺃبيه بعض اﻷرز في صحن و قالت له:  اذهب من هنا و تناول عشائك في الساحة
عطاتو مرتا باه شوييا ديال الروز في الطبسيل و ڭالت ليه سير تاكل عشاتك في الساحة,ﺃعطته زوجة ﺃبيه بعض اﻷرز في صحن و قالت له:  اذهب من هنا و تناول عشائك في الساحة
ڭلس الولد في البرد كياكل الروز و بقوة البرد تكمش مورا واحد الباب,جلس الطفل في البرد القارص يأكل اﻷرز و من شدة البرد انكمش خلف أحد الأبواب
الخدامة تغلات في جميع الدار و نعس الولد في بلاسيو,الخادمة انشغلت في الأعمال المنزلية و نام الطفل في مكانه
الخدامة تغلات في جميع الدار و نعس الولد في بلاسيو,غادر أهل الزوجة بعد أن استأنسوا و أكلوا و بعد ذلك أمرت زوجة الأب الخادمة أن تنظف البيت و آوت إلى فراشها و لم تكلف نفسها حتى السؤال عن الصغير
عائلة المرا تولفو و كلاو و من بعد مرات الراجل قلت ل الخدامة بش تنقي الدار و مشات تنعس بلا متسول على الولد,عاد زوجها من العمل و سألها عن ابنه
رجع الراجل من خدمة و سولها على ولدو,قالت له ﺇنه مع الخادمة
ڭالت ليه راه مع الخدامة,و هي لا تدري هل هو معها أم لا
و هي ماعارفاش واش هو معاها ولا لا,نام أبوه و أثناء نومه رأى زوجته الأولى تقول له اهتم بولدك
نعس باباه و في المنام حلم بمراتو اللولة كاتڭوليه ديها في ولدك,استيقظ مذعورا و سأل زوجته عن ابنه
فاق مخلوع و سول مراتو على ولدو,استيقظ مذعورا و سأل زوجته عن ابنه
هدناتو بلي هو مع الخدامة و مناضش تتأكد,طمأنته أنه مع الخادمة و لم تكلف نفسها أن تتأكد
نعس عوتاني و حلم مراتو تتقول ليه ديها في ولدك,نام مرة أخرى و رأى زوجته تقول له اهتم بابنك
نعس عوتاني و حلم مراتو تتقول ليه ديها في ولدك,استيقظ مذعورا مرة أخرى و سأل زوجته عن الولد
فاق مخلوع مرة أخرى و سول مراتو على ولدو,ذهب يبحث عن أبنه عند الخادمة فلم يجده عندها ، جن جنونه
مشى يقلب على ولدو عند الخدامة ولكن ملقاهش بغى يحماق,صار يركض كالمجنون في البيت هنا و هناك حتى وجده ولكن ميتا
بدى كيجري بحال شي حمق في الدار حتى لقاه ولكن ميت,لازلت أتذكر عندما كنت صغيرا
باقي كنتفكر فاش كنت صغير,مكثت في المستشفى  أسبوعا من جراء برد و عند خروجي سمعت الطبيب يخبر والدي بأن صحتي جيدة و لكن قد يكون لهذا المرض تأثير في المستقبل
دخلت ل سبيطار ل مدة سيمانة بسباب البرد و فاش خرجت سمعت الطبيب تيقول ل بابا بلي الصحة ديالي مزيانة ولكن يقد يكون ل هاد المرض تأتير ف المستقبل,مضت سنوات،  أصبحت شاباً ثم تزوجت
دازز ليام و وليت شاب و من بعد تزوجت,مضت سنوات،  أصبحت شاباً ثم تزوجت
بعد المرات كنحس بلعيا وخى ندير أي مجهود صغير,أحيانا أشعر بالتعب من مجهود صغير أبذله
مشيت لصبيطار باش ندير قيزيت و تصاب عندي ضعف في القلب,ذهبت إلى المستشفى لإجراء فحوصات عامة،  تبين أن لدي ضعفا في ضربات القلب
مشيت لصبيطار باش ندير قيزيت و تصاب عندي ضعف في القلب,و أن هذا الضعف من جراء البرد الذي أصابني سابقا ، أدى إلى روماتزم مفصلي حاد في القلب
و هاد الضعف جا من البرد لي كان جاني هو اللي دار لي الروماتيزم في القلب,قال لي الطبيب:  يجب أن تجري عملية جراحية على مستوى القلب
ڭال لي الطبيب خاصك عملية ديال القلب,قلت له:  ألا يمكن أن آخذ فترة راحة فقط أو أتبع علاجا ؟ قال لي يلزمك عملية جراحية على مستوى القلب
ڭلي ليه واش ميمكنش غير نرتاح و نتبع الدوا صافي ڭاليا لازم تفتح على القلب,مرت أيام بدﺃت أحس باﻹرهاق و ألم في قلبي
دازت لييام و بديت كنحس بلعيا و قلبي بدا تيدرني,عدت إلى الطبيب
رجعت عند الطبيب,قال لي يجب أن تجري أشعة
ڭال لي خاصك تدير راديو,قال لي يجب أن تجري أشعة
درت التحاليل و الراديو خديت رونديقو باش ندخل السبيطار و ندير العملية,بعد ما أجريت التحاليل و اﻷشعة أخذت موعدا كي أدخل المستشفى و أجري العملية الجراحية
فقت معا السبعة ديال الصباح خديت طاكسي باش نمشي لسبيطار,نهضت على الساعة السابعة صباحا ﺃخذت سيارة ﺃجرة نحو المستشفى
فقت معا السبعة ديال الصباح خديت طاكسي باش نمشي لسبيطار,جلست مع الطبيب الجراح الذي سيجري لي العلمية
ڭلست مع الطبيب اللي غادي يدير لي العملية,فإذا بالممرض يقف عند رأسي
هوا يوقفلي الفرملي عند راسي,تكلم معي فلم ﺃجبه ، لاحظ ﺃنني مضطرب
هدر معايا و مجاوبتوش شافني مخلوع,كان يحمل بيده إبرة منومة،  مددت له يدي
كان هاز في يدو إبرة كتنعس مديت ليه يدي,ذهبت إلى طبيب العيون لأجري فحصا لأجل نظارات طبية
مشيت عند طبيب العينين باش ندوز و باش ندير النظادر,جلست في قاعة الانتظار،  وجدت الكثير من المرضى
ڭلست في قاعة الانتظار و لقيت بزاف ديال المرضى,جلست في قاعة الانتظار،  وجدت الكثير من المرضى
آش جابك هنا,ما الذي جاء بك إلى هنا
جيت ندوز على عيني كيضروني و بغيت نظادر,جئت ﻷفحص عيني ، أحس بألم و أريد نظارات
جيت ندوز على عيني كيضروني و بغيت نظادر,أنت صغيرة و أتيت لوضع النظارات
نتي صغيرة و جيتي تديري نظادر,إنها نظارات لأريح عيني لأنني طوال اليوم أمام الحاسوب
راهم نظادر باش نريح عيني حيت أنا نهار كلو قدام لورديناتور,تدرسين؟
كتقراي,نعم
نعام,في أي سنة؟
فإنى عام,سنة أولى جامعي
العام اللول ديال لافاك,سنة أولى جامعي
غير بعد من لافاك فيها بزاف ديال لمشاكيل,دعك من الجامعة ، يوجد بها العديد من المشاكل
و زيدك على هادشي فاش تتخرج ماكاتلقاش خدمة,زيادة عن هذا عند تخرجك لن تجدي عملا
و زيدك على هادشي فاش تتخرج ماكاتلقاش خدمة,كل يوم نرى كما هائلا من الشباب خريجي الجامعات عاطلين عن العمل
كل نهار كتشوف لي مخرجين من لافاك مشومرين,سمعت أنهم أعدوا عقودا لمساعدة الشباب خريجي الجامعات
سمعت بلي وفرو عقود بش يعاونو الشباب لي تخرجو من الجامعة,قال لنا والده الذي يفوق عمره السادسة و الستون أن ابنه أنهى الدراسة بمستوى التاسعة أساسي و التحق بمركز التكوين المهني
ڭال لينا باه لي عمرو كتر من ستة و ستين عام بلي ولدو كمل قرايتو في التاسعة و مشى دار التكوين المهني,تحصل على دبلوم اختصاص ميكانيكا و بقي بدون عمل،  فيما بعد التحق بالخدمة العسكرية لمدة عامين
خدى دبلوم ديال الميكانيك و بقى بلى خدمة من بعد مشى دار العسكر عامين,ثم بعد عودته،  حاول كأصدقائه أن يجد عملا لكن دون جدوى
فاش رجع حاول بحال صحابو باش يلقى شي خدمة ولكن والو,ثم قام بفتح محل
من بعد حل محل,ثم قام بفتح محل
قبل ما يتوفى محمد كانو كلشي خوتو بلى خدمة خوه الكبير لي فعمرو تسعود و عشرين عام شومور و ما عندو فين يسكن,قبل وفاة محمد كان جميع إخوته بدون عمل،  الأخ الأكبر البالغ من العمر تسعة و عشرون سنة يعاني من البطالة و بدون سكن
إوى كيف قلت ليك يا أميرة التطور التكنولوجي رجع حياتنا سهلة,إذا كما قلت لك يا أميرة ، لقد أصبحت حياتنا سهلة بفضل التطور التكنولوجي
إوى كيف قلت ليك يا أميرة التطور التكنولوجي رجع حياتنا سهلة,صحيح أن الزمن تغير و أصبح فيه الكثير من المشاكل
بصح الزمان تبدل و ولاو فيه بزاف ديال المشاكل,لكن في القديم لم تكن الحياة سهلة كما في وقتنا الحاضر
ولكن شحال هادي مكانتش الحياة ساهلة بحال دابا,في الماضي كان غسيل الثياب مضنيا
شحال هادي كان غسيل الحوايج قاسح,و الطعام يطهى على الجمر
و الطياب تيتطيب على المجمر,و حتى أنهم كانوا يقضون أياما كاملة في السفر على الأقدام للوصول إلى مكان ما
أو حتى كانو كاي بقاو أيام كولها فسفر علا رجليهوم لشي بلاصة,ليس كما هو الحال الآن حيث تطور كل شيء
ماشي بحال دابا حيت تطور كلشي,ليس كما هو الحال الآن حيث تطور كل شيء
ماشي بحال شحال هاد,ليس كما في السابق
دابا كاين التلفازا و لورديناتور و كل شي تطور,الآن يوجد التلفاز و الحاسوب و كل شيء  إذا تطور ملحوظ
دابا كاين التلفازا و لورديناتور و كل شي تطور,صحيح ، والله تطور ملحوظ
والله بصح تطور باين,في وقتنا هذا أصبح كل شيء سهلا
في وقتنا هذا ولا كلشي ساهل,في ما نتشارك
فاش نتشاركو,نتشارك في فكرة ما
نتشاركو فشي فكرة,تشاركونني بالأفكار
تشاركو معاي بالأفكار,هكذا نساعدك ؟ ما رأيك يا أميرة هل نتشارك؟
هكدا نعاونوك اش بانلك الأميرة نتشاركو,هكذا نساعدك ؟ ما رأيك يا أميرة هل نتشارك؟
المهم هو المشاركة,المهم المشاركة
واش باقي تيليفون خدام آ فؤاد,هل لازال الهاتف يعمل يا فؤاد؟
واش باقي تيليفون خدام آ فؤاد,لا إنه لا يعمل
لا راه ماخدامش,سآتي الآن لأصلحه
غانجي دابا نصاوبو,و أنت يا أميرة كيف تحضرين للبكالوريا ؟ أم أنك خائفة منه؟
و نتي يا أميرة كيفاش تتوجدي للبكالوريا ولا نتي خايفة منو,لست خائفة منه
ماخايفاش منو,و ماذا عن الأساتذة؟  ما الذي يقولونه لكم؟
و الأساتدة شنو تيقولو ليكم,ماذا الذي يورونكم إياه؟
شنو وراوكم,ماذا الذي يورونكم إياه؟
شنو تينصحوكم و نتوما هاكا,ماذا ينصحونكم وأنتم في هذه الحال؟
و نتي هادا عامك اللول معندك خبرة,و هذا عامك الأول لا تملكين أي خبرة
و نتي هادا عامك اللول معندك خبرة,حسنا جميع الأساتذة يجمعون على أن فرحة البكالوريا لا تضاهيها فرحة
كلشي الأساتذة متافقين بلي فرحة البكالوريا مكيناش فرحة بحالها,رغم أنه تمر علينا أفراحا كثيرة
وخا زعما كتدوز علينا بزاف د الأفراح,إذن يجب ألا تخافوا و أبدؤوا العمل منذ الثلاثي الأول و كل يوم
خسكوم متخافوش وتبداو الخدمة من الثلاثي اللول كلا نهار,و لا نضيع وقتنا في الأمور التافهة
مانضيعوش وقتنا  في الخوى الخاوي,أدرسوا جيدا
قراو مزيان,لأن هذا مصيركم،  ركزوا على مواد الحفظ إلى جانب المواد الأساسية لأنها هي التي ترفع المعدل
حيت هدا هو المصير ديالكم ركزو على مواد الحفاظة مع المواد الأساسية حيت هي اللي كتطلع المعدل,لأن هذا مصيركم،  ركزوا على مواد الحفظ إلى جانب المواد الأساسية لأنها هي التي ترفع المعدل
بصح تتهز المعدل,هذا صحيح،  ترفع المعدل
زيدون نتا التخصص ديالك تسيير عندك بزاف د الحفاظة,بالإضافة إلى أن تخصصك تسيير ، عندك الكثير من مواد الحفظ
زيدون نتا التخصص ديالك تسيير عندك بزاف د الحفاظة,حقا ، لدينا المحاسبة معامل سبعة من يحصل فيها علامة جيدة و في مادتي القانون و الاقتصاد ، إنها المواد الأساسية
كاينة حيت عندنا المحاسبة المعامل سبعة اللي كيجاوب مزيان فيها و ف القانون والاقتصاد حيت هي مواد أساسية,صحيح
بصح,بالإضافة أنصحك أن تعملي جيدا أختي أميرة
نزيدك تنصحك تخدمي مزيان أختي أميرة,ماذا سأقول لك؟
شنو غانقول ليك,اعملي جيدا
خدمي مزيان,ركزي تفكيرك و اتركي اللعب جانبا و دعي عنك هذه الحكايات و صفي ذهنك
ركزي تفكيرك و خلي اللعب و متديهاش في الهدرة و نقي راسك,ركزي تفكيرك و اتركي اللعب جانبا و دعي عنك هذه الحكايات و صفي ذهنك
نعام كلشي في وقتو,نعم كل شيء في وقته
تيقيني لي تيدوز وقتو في اللعب كيخسر بزاف و كيلقى صعوبات نهار آخر فاش أيدوز البكالوريا,صدقيني ، من يقضي وقته في اللهو يخسر كثيرا و يجد صعوبات يوما  آخر في امتحان البكالوريا
تيقيني لي تيدوز وقتو في اللعب كيخسر بزاف و كيلقى صعوبات نهار آخر فاش أيدوز البكالوريا,نعم
نعام,لاحقا سيتراكم عليك كل شيء و لن تعرفي من أين تبدئين الحفظ
من بعد غيطيح عليك كلشي و مغتعرفشي من لاين تبدا,والله صحيح، أعلم أنه في تلك اللحظة سأضطرب و ستتشوش أفكاري
و الله ادا كاينة انا عارف فديك اللحظة غنتخربق و تشوشلي الأفكار,إن شاء الله سيوفقك الله و يوفق جميع الذين يجتازون البكالوريا
إن شاء الله يوفقل ليك الله و يوفق كلشي لي غادي يدوزو البكالوريا,و الطلبة  أمثالك
والطلبة فحالك,حقا أسأل الله أن يوفقك ،  و العاقبة لي لما أجتاز شهادة البكالوريا و أحصل عليها أنا أيضا إن شاء الله
تندعي الله باش يفتح ليك و العاقبة لي فاش ندوز شهادة البكالوريا و نشدها حتا أنا إن شاء الله,حقا أسأل الله أن يوفقك ،  و العاقبة لي لما أجتاز شهادة البكالوريا و أحصل عليها أنا أيضا إن شاء الله
إن شاء الله نجيبو ب المونسيون,سأحصل عليه إن شاء الله بتقدير
كيف تانقولو بشوييا و ماتقلقيش نفسك درجة درجة حتى تربحي,كما يقال بهدوء و لا تتوتري، درجة درجة حتى تفوزين
كيف تانقولو بشوييا و ماتقلقيش نفسك درجة درجة حتى تربحي,معك حق ، درجة درجة
عندك حق درجة درجة,تريثي و بإذن الله ستنجحين و تحققين ما تتمنينه في الحياة
ستنا شوية و إن شاء الله تنجحي و تجيبي اللي كتمناه ف الحياة,و بالأخص ألا يذهب هذا المجهود هباء إن شاء الله
و هاد المجهود مغيضيعشي إن شاء الله,أميرة،  الدراسة مفيدة
أميرة راه القراية مفيدة,لن يفيدك شيء في هذه الدنيا سوى دراستك يا بنيتي
حتى حاجة ماغادي تفيدك في هاد الدنيى من غير قرايتك,و لا تتوقعي من الآخرين أن ينفقوا عليك لاحقا
و متوقعيش من لخرين ينفقو عليك من بعد,و لا تتوقعي من الآخرين أن ينفقوا عليك لاحقا
واحد النهار واليدينا غادي يغيبو علينا,في يوم ما سيغيب عنا والدانا
خصك تعتمد على راسك و تحافظي على راسك,يجب عليك الاعتماد على نفسك و المحافظة عليها
خصك تعتمد على راسك و تحافظي على راسك,في هذه الدنيا لا شيء يدوم  سوى سلاحك
في هاد الدنيا حتى حاجة مكتدوم من غير سلاحك,و دراستك هي سلاحك
قررايتك هي سلاحك,و حقا لا تعتمدي على أحد في هذه الدنيا
و متعتمدي على حد في هاد الدنيا,هل بدأت بالتحضير لشهادتك؟
بديتي توجدي للشهادة ديالك ؟,بالطبع
طبعا,هل بدأت الآن أم لا؟
واش بديتي دابا ولا لا,هل بدأت الآن أم لا؟
راه بديت نوجد لشهادة ديالي,أجل لقد بدأت بالتحضير لشهادتي
واش بديتي تحفضي ولا لا,هل بدأت الحفظ أم لا؟
واش بديتي تحفضي ولا لا,بدأت بالحفظ منذ أول درس أخذناه
بديت نحفض من أول درس قريناه,و هل تقدمتم في الثلاثي الأول أم لا؟
و ماشين مزيان في الدورة اللولى,نعم تقدمنا كثيرا
أه ماشين مزيان,أقصد أنه عندما نكون في الأخير نكون مرتاحين جدا و نستطيع القيام بالمراجعة
بغيت نقول بلي اللخر كانكونو مرتاحين و كنقدو نديرو المراجعة,صحيح إن شاء الله ستحصلين على البكالوريا
بصح إن شاء الله غادي تاخدي البكالوريا,و أنت كيف تجدين مستواك؟ هل تفهمين جيدا ؟هل تعتقدين أنه بإمكانك النجاح؟
و نتي كيفاش تيجيك المستوا ديالك واش تتفهمي مزيان واش تقدي تنجحي,و أنت كيف تجدين مستواك؟ هل تفهمين جيدا ؟هل تعتقدين أنه بإمكانك النجاح؟
تيضهرلي قادة ننجح إن شاء الله,أظن ذلك أعتقد أنه بإمكاني النجاح إن شاء الله
مع شويية ديال الزهر و شويية ديال المراجعة كل شي غادي يكون إن شاء الله,مع القليل من الحفظ و القليل من المراجعة كل شيء سيكون على ما يرام إن شاء الله
مع شويية ديال الزهر و شويية ديال المراجعة كل شي غادي يكون إن شاء الله,بسم الله، أما الآن فسنتحدث عن مشكلة أخرى صعبة  ألا و هي مشكلة الدراسة
بسم الله إما دابا غادي نهدرو على مشكل صعيب أخر و هو مشكل القراية,لقد أصبحت الدراسة في وقتنا الحالي صعبة جدا
ولات القراية في هاد الوقة صعيبة بزاف,كما يقال لم يعد الأساتذة يشرحون جيدا
كيف تنقولو حنا مبقاوش الأساتذة تشرحو مزيان,حتى و إن شرحوا  لا يقدمون الكثير كي تلجأ إلى دروس الدعم ، تذهب و تسعى في كل مكان ، تدرس في البيت و خارجه
وخى يشرحو متيعطيوش بزاف باش تمشي لي دروس الدعم كتمشي و كتسعى في كل بلاصت كتقرى في الدار و برا,يداهمك الوقت ،  يداهمك الوقت
كيزرب عليك الوقت و كيزرب عليك الوقت,حتى هذا الأمر غريب
حتى هنا هاد الشي غريب,حتى هذا الأمر غريب
