Original_Dialect,MSA_conversion
ما غلطت ابدا لماحكت غلطت من البدايه لأنها سكتت عالشي هدا ومن الأول بفضحهم والي يصير يصير وشو بدك فيهم هدول المنافقين الكزابين الي عارفين ومتاكدين وماصدقوكي ابعدي عنهم اريحلك,لم تخطئ أبدًا عندما تحدثت، أخطأت في البداية لأنها سكتت على هذا الشيء، ومن البداية يجب أن تفضحهم، وليحدث ما يحدث، وماذا تريدين منهم هؤلاء المنافقين الكذابين الذين يعرفون ويتأكدون ولم يصدقوكِ، ابتعدي عنهم أفضل لك.
هلا مو موسمها بس ممكن تلاقيها في شارع عمر المختار اخر شارع السوق ع ايدك اليمين قبال العماره الجديده الي اسمها رانسي,الآن ليس موسمها، ولكن يمكنك أن تجديها في شارع عمر المختار، آخر شارع السوق، على يمينك، مقابل العمارة الجديدة التي تسمى رانسي.
اعملتي الصح وربنا شايل الك الاحسن من ترك شيء لله عوضه خير منه,لقد فعلت الصواب، وربنا شايل لك الأحسن، من ترك شيئًا لله عوضه خيرًا منه.
المهم الى صار حاولى انك تبدى من جديد واعتبريها تجربه لحياه افضل واحسن وربنا يعوضك خير,المهم ما حدث، حاولي أن تبدئي من جديد واعتبريها تجربة لحياة أفضل وأحسن، وربنا يعوضك خيرًا.
بس بحكى عن اللى بتمسخرو على اى منشور يعنى البنت عارضه البوست وبدها تفضفض بحكولها شو نعملك طيب مايردو افضل,لكنها تتحدث عن الذين يسخرون من أي منشور، بمعنى أن الفتاة نشرت البوست وتريد أن تفضفض، يقولون لها ماذا نفعل لكِ؟ من الأفضل ألا يردوا.
لما يكبر الشخص شوي بسير المخ يصنف المعلومات و ينسقها و بتروح هالمشكله,عندما يكبر الشخص قليلاً، يبدأ المخ في تصنيف المعلومات وتنسيقها، وتختفي هذه المشكلة.
هه حتخربي بيوت كتير بطريقتك,هه، ستدمرين بيوتًا كثيرة بطريقتك.
الله يفرجها عليكي ياخيتي ب اذن الله جييكي فرج بموضوع كنتي خايفه منو وراح يصير يلي كنت تتمنيه والله اعلى واعلم,الله يفرجها عليكِ يا أختي، سيأتيك الفرج بشأن موضوع كنتِ خائفة منه، وسيحدث ما كنتِ تتمنينه إن شاء الله.
من اولها بدو يبيع الدهب وبعدين ايش بدو يبيع لمايخلص الدهب تبعيش يروح يتداين ويجيب شغلته مش بشتغل هو اويعمل جمعيه ويجيب لوازمه ماتبيعه بكره بتلاقيه بزنقه الرجال مابنعطى الهم وجه,من البداية، يريد أن يبيع الذهب، ثم ماذا سيبيع عندما ينتهي الذهب؟ سيذهب ليستدين ويجلب أشياءه، لا يعمل هو أو يعمل جمعية ويجلب ما يحتاجه، لا تبيعيه، غدًا ستجدينه في ورطة، الرجال لا نعطيهم وجهًا.
عنجد هادي هيا المصايب بذاتها ليش يخلفو طيب في مليون وسيله منع حمل وبلاش بالعيادات,عن جد، هذه هي المصائب بذاتها، لماذا يخلفون؟ هناك مليون وسيلة لمنع الحمل وبالمجان في العيادات.
طنش كل شي وتبعد احسن لها والله,طنشي كل شيء والابتعاد أفضل لها والله.
وكمان بقطعه كهربا واحداث غزه تكفى بالغرض,وكذلك بقطعة كهرباء واحدة، أحداث غزة تكفي بالغرض.
لا حول ولاقوه الابالله في اسمه تحصين اقراو سوره البقره الحديث واضح انها بتطرد الشياطين وحصنو حالكو بالاذكار والمعوذات واتاكدي ياختي انو هاي اوهام ومالها علاقه ابدا باللي بتحكي عنو افتحي للشيخ طارق سويدان واسمعي شو حكي عنهالسحر والعمل هاد الاشي عباره عن خيلات بصريه وموجود بالقران سحرو اعين الناس فقط والله خير حافظا,لا حول ولا قوة إلا بالله، في أسمائه تحصين، اقرئي سورة البقرة، الحديث واضح أنها تطرد الشياطين، وحصنوا أنفسكم بالأذكار والمعوذات، وتأكدي أختي أن هذا أوهام ولا علاقة له أبدًا بما تتحدثين عنه، افتحي للشيخ طارق سويدان واسمعي ما قاله عن السحر والعمل، هذا الشيء عبارة عن خيالات بصرية، وهو موجود في القرآن، سحروا أعين الناس فقط، والله خير حافظًا.
تقلقيش مش هرد عليكي حبيبتي هنو,لن أقلق، لن أرد عليكِ حبيبتي هنو.
اسالى هو الجواب عندو,اسأليه هو، الجواب عنده.
هه لازم ننصح الناس اخ لو تجيبيني بدالها ارد لخلين يقولو من وين بطلع الكلام,هه، يجب أن ننصح الناس، أخ، لو تأتيني بدلها سأرد، ليقولوا من أين يأتي الكلام.
عادى بيروح مع المده بنتي ضلت لبعد السنه,عادي، سيذهب مع الوقت، ابنتي استمرت بعد السنة.
استخيري ربنا يوجهك للقرار الصح لو هالذهب هيخلي شغله احسن ويجيب دخل احسن عليكم بيعي لانه من ورا هالدخل ممكن تجيبي بيت وحالكم يكون احسن,يستخير ربه أن يوجهه إلى القرار الصحيح، فإذا كان هذا الذهب سيحسن عمله ويجلب دخلًا أفضل، فليبعها، لأن هذا الدخل قد يمكنهم من شراء منزل وتحسين ظروفهم المعيشية.
مزاج الي برمال والطابون الي بالنصر,مزاج الذي في الرمال والطابون الذي في النصر.
وانا اجى ع بالي اعزميني,وأنا أيضًا أريد أن تدعوني.
ما بيعطبكي الحق تشتمي وتسبي ع كيفك,هذا لا يعطيك الحق في الشتم والسب كما يحلو لك.
هي بدها حد يقولها انه بحبها و بيتلبك بس يشوفها خخ,هي تريد شخصًا يخبرها أنه يحبها وتتلعثم عندما تراه، هاها.
معتمداها بمطبخي ولازم كل فتره والتانيه اعملها,أعتمد عليها في مطبخي، ويجب أن أقوم بإعدادها كل فترة.
الله يعينها على شوفه حماتها شكلها وحمانه,نسأل الله أن يعينها على رؤية حماتها، يبدو أنها مزعجة.
وما اعتقد مرته تطلق يمكن تحرد زعل وخلاص بترجع تاتي,ولا أعتقد أن زوجته ستطلق، ربما ستغضب فقط ثم تعود.
ليش تخرب بيته وبعدين هي حكت انها تركت كل شي كرمال بيته ما قالت تزوجته,لماذا تدمر حياته؟ ثم إنها قالت إنها تركت كل شيء من أجل منزله، ولم تقل إنها تزوجته.
كلامها الست فش فى اشى علشان الى دارها وسخه اتحس على حالها و تقوم اتنضفها هه,كلامها صحيح، إذا كانت منزلها قذرًا، فيجب أن تشعر بالخجل وتقوم بتنظيفه.
اعملي يلي عليكي وكبي بالبحر الاجر عند ربك ومصيرها تعرف قيمتك وتحبك,افعلي ما عليك، ودعي الباقي على الله، وسيأتي يوم تدرك فيه قيمتك وتحبك.
طيبه شي كتير نقي ومنيح بس بزمنا هاد لازم الواحد يعرف لمين وأي وقت يظهر ويبين طيبته ولمين بستحقها بس ما لازم يلغيها وأي شخص لازم يحكم عقله وقلبه ويعمل توازن لا يتخلى عن ضميره ولا طيبته بس,الطيبة شيء جميل ونبيل، ولكن في زماننا هذا، يجب على المرء أن يعرف متى وكيف يظهر طيبته، ومن يستحقها. لكن لا يجب أن يتخلى عنها أبدًا، وفي نفس الوقت، يجب على المرء أن يوازن بين عقله وقلبه، وألا يتخلى عن ضميره وطيبته.
اسلقيهم واعمليهم متبل كوسه بطلع زاكي,اسلقيها واصنعي منها متبل كوسة، سيكون لذيذًا.
وانا كمان استغربت المفروض موضوع نقاش,وأنا أيضًا استغربت، كان يجب أن يكون موضوع نقاش.
الواحد يعمل اللي يرضي ربه و ما يقصرش بكرا بس تجرب غيرك هتعرف خيرك,على المرء أن يفعل ما يرضي ربه ولا يقصر في ذلك. وعندما تجربين غيرها، ستعرفين قيمتها.
حماتي دمرت حياتي كنت بعاملها احسن من امي بس للاسف بتكرهني ودايما تشبك ابنها عليا,حماتي دمرت حياتي، كنت أعاملها أفضل من أمي، لكنها للأسف تكرهني وتؤلب ابني علي دائمًا.
كمان هبه في الرد ع التعليق و هنلاقي كنز,سنبحث عن الكنز في رد هبة على التعليق.
حاولي نظام الصور والملصقات انه تشرحيله المنهج عشكل صور والوان حترسخ بمخه اكتر,حاولي أن تشرحي له المنهج باستخدام الصور والملصقات، سيساعد ذلك على ترسيخ المعلومات في عقله بشكل أفضل.
هه في زيك كتير,هناك الكثيرون مثلك.
اعتبريها صدقه تحميكي انت وزوجك,اعتبريها صدقة تحميك أنت وزوجك.
امشي عدل يحتار عدوك فيك انا بشوف انو,امشي باستقامة وسيحار عدوك في أمرك. أنا أرى أنه...
بعدين احكيلها طباعك وكيف انتي,ثم أخبريها بطبعك وكيف تكونين.
معلش يا حبيبتي بس مش وظيفه الحكومه نشر الدين وظيفه الأهل قبل كل شئ,أنا آسفة يا عزيزتي، لكن نشر الدين ليس وظيفة الحكومة، بل هو مسؤولية الأهل في المقام الأول.
والله ما بيخدش الحياء الا وجود هالسقط الفاشلين اصحاب القرارات الفاشله,والله، إن وجود هؤلاء الفاشلين أصحاب القرارات الفاشلة هو ما ينتقص من الحياء.
خلى بالك كتر القيمه بتقل الواجب,انتبهي، فالمبالغة في تقدير الشيء تقلل من قيمته.
حرام لانه اسمعت الموسيقا هي الحرام لكن الاناشيد الخاليه من الموسيقا مو حرام,إنه حرام لأن الموسيقى حرام، لكن الأناشيد بدون موسيقى ليست حرامًا.
ام يزن ما حددت لا رمال ولا معسكر تكلمت عن شي شافته ومكان عايشه في صار هادا الشي فيه بعدين ناس بدهم يدارو فضيحه بنتهم هل يعقل انهم يمشوا بالبيبي بنفس المكان الي عايشن فيه يرموه هدول بيجوا من احياء بعيده عن سكنهم عشان ما حدا يعرفهم بعدين روحي تمشي بالرمال شوفي القرف والتبرج هل بتتجرأ بنت من الاحياء البسيطه تعمل هيك شوفي مدارس المعسكر شوفي البنات كيف لبسهم وشوفي بنات تانيين ادخلي محلات الرمال ومن لهجتهم بتعرفيهم في المعسكر والاحياء البسيطه اهلها بيقتلوها مش بينتظروها تولد ليرموا البيبي في رقابه ع بناتهم اكتر من عندنا واغلب المصايب بتصير في الاحياء الي بيدعوا الرقي,لم تحدد أم يزن مكانًا معينًا، سواء الرمال أو المعسكر، بل تحدثت عن شيء رأته في المكان الذي تعيش فيه. هناك أشخاص يريدون التستر على فضيحة ابنتهم، فهل من المعقول أن يلقوا بالطفل في نفس المكان الذي يعيشون فيه؟ إنهم يأتون من أحياء بعيدة حتى لا يعرفهم أحد. اذهبي إلى الرمال وشاهدي ما يحدث هناك من تبرج وقرف، فهل تجرؤ بنت من الأحياء البسيطة على فعل ذلك؟ انظري إلى مدارس المعسكر وكيف يلبس البنات هناك، وقارنيهن ببنات الأحياء الأخرى. يمكنك معرفة من يعيش في الرمال من لهجتهم، وفي الأحياء البسيطة، يقتل الأهل ابنتهم ولا ينتظرونها حتى تلد. إنهم يراقبون بناتهم أكثر منا، ومع ذلك، تحدث معظم المصائب في الأحياء التي تدعي الرقي.
انا بأشجع بأول زياره ياخد اشي يضل ذكرى كل مايشوفو يتذكرو انو بأول زياره جابو وأهم اشي يغلف الهديه ما ياخدها بكيس عادي حتى لو كانت ساعه وبرفان,أشجع على أن يأخذ هدية في أول زيارة، تكون ذكرى يتذكرانها دائمًا. ومن المهم أن يتم تغليف الهدية بشكل جميل، حتى لو كانت ساعة أو عطرًا.
انا من نظري مافي اطفال بتقدر تتحكم فيها سواء مشاغب او عاقل والطفل ما بتقدر تربطيه ببمكان وبالاخر الطفل طفل يعني ايش مابدو يعمل بضل طفل,في رأيي، لا يوجد أطفال يمكن السيطرة عليهم، سواء كانوا مشاغبين أو عاقلين. ولا يمكنك أن تقيدي الطفل في مكان واحد، وفي النهاية، يظل الطفل طفلاً يفعل ما يريده.
شكلك ناسي بزر الشمس,يبدو أنك نسيت بذور عباد الشمس.
خليني متابعه من بعيد اريح وبقول ساقالله كان الجروب بيوم من الايام ما احلاه هلأ كلو طوش,سأكون أكثر ارتياحًا إذا تابعت من بعيد، فقد كان هذا الجروب رائعًا في يوم من الأيام، أما الآن، فهو مليء بالمشاكل.
مرات في حماوات بياخدو من اولادهم مشان بيكرهو الكنه لحتى مايضل لهاشي,هناك بعض الحماة الذين يأخذون المال من أبنائهم حتى يكرهوا زوجاتهم ولا يتركوا لهن شيئًا.
شكلك نكديه وما بتتحملي مزحه,يبدو أنك متشائمة ولا تتحملين المزاح.
القصه مش من سبايدر مان هاي غيره حاولي انك تشركيه معك في الاهتمام في البيبي حسيه انو مساعدته الك ضروريه هيسير يحب اخوه كتير و يحس انو مسؤول منه و فضي حالك لو ساعه في اليوم للعب معه مثلا ترسمو او تنشدو نفسيته بتسير ايجابيه وحاله بيتحسن هو بيفرغ كبته,المشكلة ليست في سبايدرمان، بل في الغيرة. حاولي أن تشركيه معك في الاهتمام بالطفل، وأشعريه بأهمية مساعدته لك، وسيحب أخاه كثيرًا ويشعر بالمسؤولية. وفري بعض الوقت لنفسك، ساعة في اليوم مثلاً، للعب معه أو الرسم أو الغناء، سيحسن ذلك من نفسيته وتصبح حالته أفضل، فهو يفرغ كبته بهذه الطريقة.
شوفي قهرتي قلبي الله يهديكي وبس انا صح مش كتير مع الولاد الصغار بس العنف ابدا مش حل ول عليكي في عالم بتتمنى يجيها بيبي,لقد أغضبتيني، أنا لا أحب الأطفال الصغار كثيرًا، لكن العنف ليس حلًا أبدًا، هناك من يتمنى أن يرزقه الله بطفل.
انا صار معي هيك وكونت حامل الدكتور اعطاني كتفلام مسكن ومنيح وكونت ارتاح عليه مع مضاد حيوي,حدث معي نفس الشيء عندما كنت حاملًا، أعطاني الطبيب مسكنات ومضادات حيوية، وكانت مفيدة.
انا مع القرار وبشده يعنى بالله عليكم لو بنتك الصغيره معاك فى السياره وعندها حساسيه بترضى يدخن فى السياره او امك اوانت وكمان والشبابيك بتكون مغلقه انت حر دخن بس ماتجبرنى انا اشم رائحه الدخان وانا مابيعنينى يجمعو مصارى ومخالفات,أنا أؤيد هذا القرار بشدة، كيف يمكنك أن تدخن في السيارة إذا كان هناك شخص يعاني من الحساسية، مثل ابنتك الصغيرة أو أمك أو أي شخص آخر؟ أنت حر في التدخين، لكن لا تجبر الآخرين على استنشاق الدخان.
المنيح معاكي كوني منيحه معو وتقعديش تيجي ع حالك عشان ترضي هاد وهداك اللي بيرضا يرضى واللي بيرضاش مع نفسو,كوني طيبة مع من هو طيب معك، ولا تتنازلي عن كرامتك لإرضاء هذا أو ذاك، من يرضى فبها ونعمت، ومن لا يرضى فهي مشكلته.
والله هالحمايه بدها شخره اول مره احكي هالكلمه الشنيعه,هذه الحماية تحتاج إلى صفعة، هذه هي المرة الأولى التي أقول فيها هذه الكلمة البشعة.
هيا في تخرج ولا ف فرح لتطلب هيك حاجات,هل هي في حفل تخرج أو زفاف حتى تطلب مثل هذه الأشياء؟
رمزي بتنفع تمثل دور بطوله هه,رمزي يمكنه أن يكون بطلًا في فيلم، هاها.
و الله لعلمك الفكره حلوه بدل لفهم بالسلفان حبيت,الفكرة جميلة، أفضل من لفها بالسلفان.
هه مش كلو بحكيه بالدال حسب الوضع,لا، لا أقولها دائمًا بالدال، بل حسب الموقف.
من كثر زعلي ع اختها كرهتها وكرهت حالي,بسبب حزني على أختها، كرهتها وكرهت نفسي.
الناس بتصحا مش بتنام,الناس تستيقظ ولا تنام.
دايما بحلم اني بامتحان رياضيات وبيخلص الوقت وانا مش مخلصه وبالمره حالتي هه بي اصحا بقول الحمدلله حلم بس مادقيت يعني شو تفسيره اضغاث احلام,أنا أحلم دائمًا بأنني في امتحان رياضيات، وينتهي الوقت دون أن أنهي الامتحان، ثم أستيقظ وأحمد الله أنه مجرد حلم. لكنني لم أضغط على نفسي، فما تفسير ذلك؟ إنه مجرد حلم.
هه ماهو معاه حق تلاقيه ما سد حق البامبرز للدكانه يعني ع الأقل الولد يكبر شوي,نعم، هو محق، ربما لم يدفع ثمن الحفاضات بعد.
مطعم الحلو طيب المشاوى والشاورما,مطعم الحلو جيد في المشاوي والشاورما.
لا تهيني حالك ولا تقللي من قيمتك وخلي معك عصير ابو الشيكل طول الوقت,لا تهيني نفسك ولا تقللي من قيمتك، واحملي معك دائمًا عصير الشيكل.
ليش بتخلي بنفس المكان,لماذا تتركينها في نفس المكان؟
تستاهلي يركبوكي من يدربكوا قوق السطح,تستحقين أن يهينك من يدربك على سطح المنزل.
تقريبا مشكلته هيا نوبات هلع محتاج يزور طبيب نفسي شاطر وبفضل لو رحتي بالاضافه انو يتابع مع اخصائي نفسي ولازم يلتزم بالعلاج اقل شي شهور ما ينقطع عنه لاي ظرف بيصير الله يشفيه ويعافيه يا رب,مشكلته على ما يبدو نوبات هلع، يحتاج إلى زيارة طبيب نفسي خبير، ومن الأفضل أن تذهبي معه أيضًا، وأن يتابع مع أخصائي نفسي، ويلتزم بالعلاج لمدة شهور على الأقل، ولا يتوقف عنه لأي ظرف. نسأل الله أن يشفيه ويعافيه.
لو ياخذها وتشترى على ذوقها بيكون احسن,سيكون أفضل إذا أخذها واشترى ما يعجبها.
هه عند وين راحو الى بيعلقو بمسخره,هاها، أين ذهب أولئك الذين يعلقون بسخرية؟
تشوف علمها وحياتها احسن الها من ميه جوز,من الأفضل لها أن ترى العالم وتستمتع بحياتها بدلاً من الزواج.
الله يسعدك ويحلي ايامك خلص بس اطلع انا بتطلعي,أسعدك الله وحلى أيامك، سأخرج الآن، اخرجي أنت أيضًا.
الله يقدرنا على تربيه اطفالنا باحسن الاخلاق وما يحبه الله ويرضاه,نسأل الله أن يقدرنا على تربية أطفالنا بأفضل الأخلاق، وأن يرضى عنا.
انا اللي غاظني تعليقات البنات خلو التعداد حرام وصارت الوحده بتخرب بيت لو الجيزه التانيه والتالته والرابعه بتخرب بيوت كان ما ربنا حلل,ما أغضبني هو تعليقات بعض البنات، لقد جعلوا التعداد حرامًا، وأصبح من تتزوج بزوج ثان أو ثالث أو رابع تدمر البيوت، بينما أباح الله ذلك.
الحق ع الاهل والام بالزات مافي رقيب لازم الام تعرف كل صغيره عن بناتها لازم ما تعطيها كامل الحريه ولازم توعيها واحنا كامهات لازم دايما نرشد بناتنا الصح من الغلط,اللوم يقع على الأهل، خاصة الأم، يجب أن تكون هناك رقابة، وعلى الأم أن تعرف كل صغيرة وكبيرة عن بناتها، ولا تعطيهن الحرية المطلقة، ويجب أن توعيهم، ونحن كأمهات، يجب أن نوجه بناتنا ونعلمهن الصواب من الخطأ.
خذلك الثاني يعني مبين اني يلي كاتبو مزح كمان اذا بتعرف المدرسه يلي راح عليها بتفهم شو بحكي هاي الدرسه عالم ثاني ما الهم بلعرب صدق يمكن يلي فيها بعرفوش الملك عبد الله عشان يعرفو فراجين,خذ الثاني، من الواضح أنني أمزح. إذا كنت تعرف المدرسة التي ذهب إليها، فستفهم ما أقصده. إنهم عالم مختلف، قد لا يعرفون الملك عبد الله.
جيبيلها مكعبات كبيره والعبي معها جيبيلها بطاقات فيهم صور واحكيلها اسماء الأشياء الي بالصور حتتسلى وتتمي مهاراتها,أحضري لها مكعبات كبيرة ولعبي معها، وأحضري بطاقات بها صور، وأخبريها بأسماء الأشياء في الصور، ستستمتع وتطور مهاراتها.
مش قادره استوعب كيف بتدافعوا ع الغلط,لا أستطيع أن أستوعب كيف تدافعون عن الخطأ.
طالما انك مظلومه والحكي افترى عليكي ربنا ما بياخد بدواعيها ضلك ادعي واستغفري والله يريح بالك يا رب,ما دمت مظلومة، والكلام افتراء عليك، فالله لن يأخذ بدعائك، استمري في الدعاء والاستغفار، وسيريح الله بالك.
اول شي علاقتك مع سلفك بيكون لها حدود وما تتجاوز السؤال عن الحال لا تنسي قول الرسول صلى الله عليه وسلم الحمو الموت عشان هيك مع السلف الحلال تكوني رسمي وبعيد عن المزاح والسلف بعمره ماكان زي اﻷخ صح اله تقديره هاحترامه لكن المزاح وانكم اصحاب هذا لا يجوز,"أول شيء، يجب أن تكون علاقتك مع صهرك محدودة، ولا تتجاوز السؤال عن الحال. لا تنسي حديث الرسول صلى الله عليه وسلم: ""الحمو الموت"". لذلك، يجب أن تكون العلاقة مع الصهر رسمية، بعيدًا عن المزاح، والصهر ليس مثل الأخ، له تقديره واحترامه، لكن المزاح والصداقة غير جائزة."
لا حبيبتي ما في منها خوف اذا كانت صغيره بتروح بمضادات حيويه وعلاج,لا تخافي يا عزيزتي، إذا كانت صغيرة، فستذهب بمضادات حيوية وعلاج.
وانا والله يا عزيزى الحرامى,وأنا أيضًا، يا عزيزي، تعرضت للسرقة.
عادي في ناس بتاخد كل اشي على اعصابها,من الطبيعي أن يأخذ البعض الأمور بجدية.
اه ياريت وبصفي وبداري العيوب ولا لا وكيف شكل الاصلي وبكم حبيبتي وشو بناسبو بودره ياترى احكيلي,نعم يا ريت، وبصفي وبداري العيوب، كيف شكل الأصلي، وبكم يا ترى؟ وأي بودرة تناسبه؟ أخبريني.
يختي مش عارفه عشو بتجروا وبتدوروا عوجع الراس,يا أختي، لماذا تجري وتدوروا وراء وجع الرأس؟
لا انتي بترشيه باليل وبتسكري المكان والصبح بتشطفي بتلاقي كل الصراصير اللي مخبيه طلعت على مكان الدوا وماتت,رشي الدواء في الليل وأغلقي المكان، وفي الصباح، اشطفيه، ستجدين كل الصراصير التي كانت مختبئة قد خرجت وماتت.
عادي حبيبتي لازم تتعودي عنا نفس العينه خهه,من الطبيعي أن تتعودي، لدينا نفس العينة، هاها.
شباب قرفانه من هدا الظلم والفساد ما في حياه في غزه,هؤلاء الشباب سئموا من الظلم والفساد، لا توجد حياة في غزة.
هه يعطيكي العافيه يارب وطبعا الجلي قصه تانيه يالهوي لاتفكريني,هاها، يعطيك العافية، والجلي قصة أخرى، يا إلهي، لا تذكرني.
شو اسمه المعجون وسعره وصورته اذا ممكن,ما اسم المعجون وسعره، وهل يمكنك إرسال صورة له؟
ليش تركتي الشغل يا بنتي حد ملاقي شغل كان فيكي تحطيلو حد قرارك صح انه ما ترتبطي فيه ما في شي اسمه حبيني ولا بموت كلو بيعدي فكري بعقلك وبتستاهلي احسن منه,لماذا تركت العمل يا ابنتي؟ من يجد عملاً هذه الأيام؟ لا تفكري في أنه يجب أن يحبك أو أنك ستموتين بدونه، كل شيء سيمر، فكري بعقلك، وأنت تستحقين الأفضل.
